frame,time
1,0.012
2,0.045
3,0.078
4,0.112
5,0.145
6,0.179
7,0.212
8,0.245
9,0.279
10,0.312
11,0.345
12,0.379
13,0.412
14,0.446
15,0.479
16,0.512
17,0.546
18,0.579
19,0.613
20,0.646
21,0.679
22,0.713
23,0.746
24,0.780
25,0.813
26,0.846
27,0.880
28,0.913
29,0.946
30,0.980
31,1.013
32,1.047
33,1.080
34,1.113
35,1.147
36,1.180
37,1.214
38,1.247
39,1.280
40,1.314
41,1.347
42,1.381
43,1.414
44,1.447
45,1.481
46,1.514
47,1.547
48,1.581
49,1.614
50,1.648
51,1.681
52,1.714
53,1.748
54,1.781
55,1.815
56,1.848
57,1.881
58,1.915
59,1.948
60,1.982
61,2.015
62,2.048
63,2.082
64,2.115
65,2.148
66,2.182
67,2.215
68,2.249
69,2.282
70,2.315
71,2.349
72,2.382
73,2.416
74,2.449
75,2.482
76,2.516
77,2.549
78,2.583
79,2.616
80,2.649
81,2.683
82,2.716
83,2.749
84,2.783
85,2.816
86,2.850
87,2.883
88,2.916
89,2.950
90,2.983
91,3.017
92,3.050
93,3.083
94,3.117
95,3.150
96,3.184
97,3.217
98,3.250
99,3.284
100,3.317
101,3.350
102,3.384
103,3.417
104,3.451
105,3.484
106,3.517
107,3.551
108,3.584
109,3.618
110,3.651
111,3.684
112,3.718
113,3.751
114,3.785
115,3.818
116,3.851
117,3.885
118,3.918
119,3.951
120,3.985
121,4.018
122,4.052
123,4.085
124,4.118
125,4.152
126,4.185
127,4.219
128,4.252
129,4.285
130,4.319
131,4.352
132,4.386
133,4.419
134,4.452
135,4.486
136,4.519
137,4.552
138,4.586
139,4.619
140,4.653
141,4.686
142,4.719
143,4.753
144,4.786
145,4.820
146,4.853
147,4.886
148,4.920
149,4.953
150,4.987
151,5.020
152,5.053
153,5.087
154,5.120
155,5.153
156,5.187
157,5.220
158,5.254
159,5.287
160,5.320
161,5.354
162,5.387
163,5.421
164,5.454
165,5.487
166,5.521
167,5.554
168,5.588
169,5.621
170,5.654
171,5.688
