frame,time
1,0.005
2,0.038
3,0.071
4,0.105
5,0.138
6,0.171
7,0.205
8,0.238
9,0.272
10,0.305
11,0.338
12,0.372
13,0.405
14,0.438
15,0.472
16,0.505
17,0.538
18,0.572
19,0.605
20,0.638
21,0.672
22,0.705
23,0.738
24,0.772
25,0.805
26,0.839
27,0.872
28,0.905
29,0.939
30,0.972
31,1.005
32,1.039
33,1.072
34,1.105
35,1.139
36,1.172
37,1.205
38,1.239
39,1.272
40,1.305
41,1.339
42,1.372
43,1.406
44,1.439
45,1.472
46,1.506
47,1.539
48,1.572
49,1.606
50,1.639
51,1.672
52,1.706
53,1.739
54,1.772
55,1.806
56,1.839
57,1.872
58,1.906
59,1.939
60,1.973
61,2.006
62,2.039
63,2.073
64,2.106
65,2.139
66,2.173
67,2.206
68,2.239
69,2.273
70,2.306
71,2.339
72,2.373
73,2.406
74,2.440
75,2.473
76,2.506
77,2.540
78,2.573
79,2.606
80,2.640
81,2.673
82,2.706
83,2.740
84,2.773
85,2.806
86,2.840
87,2.873
88,2.906
89,2.940
90,2.973
91,3.007
92,3.040
93,3.073
94,3.107
95,3.140
96,3.173
97,3.207
98,3.240
99,3.273
100,3.307
101,3.340
102,3.373
103,3.407
104,3.440
105,3.473
106,3.507
107,3.540
108,3.574
109,3.607
110,3.640
111,3.674
112,3.707
113,3.740
114,3.774
115,3.807
116,3.840
117,3.874
118,3.907
119,3.940
120,3.974
121,4.007
122,4.041
123,4.074
124,4.107
125,4.141
126,4.174
127,4.207
128,4.241
129,4.274
130,4.307
131,4.341
132,4.374
133,4.407
134,4.441
135,4.474
136,4.507
137,4.541
138,4.574
139,4.608
140,4.641
141,4.674
142,4.708
143,4.741
144,4.774
145,4.808
146,4.841
147,4.874
148,4.908
149,4.941
150,4.974
151,5.008
152,5.041
153,5.074
154,5.108
155,5.141
156,5.175
157,5.208
158,5.241
159,5.275
160,5.308
161,5.341
162,5.375
163,5.408
164,5.441
165,5.475
166,5.508
167,5.541
168,5.575
169,5.608
170,5.641
171,5.675
172,5.708
173,5.742
174,5.775
175,5.808
176,5.842
177,5.875
178,5.908
179,5.942
180,5.975
181,6.008
182,6.042
183,6.075
184,6.108
185,6.142
186,6.175
187,6.209
188,6.242
189,6.275
190,6.309
191,6.342
192,6.375
193,6.409
194,6.442
195,6.475
196,6.509
197,6.542
198,6.575
199,6.609
200,6.642
201,6.675
202,6.709
203,6.742
204,6.776
205,6.809
206,6.842
207,6.876
208,6.909
209,6.942
210,6.976
211,7.009
212,7.042
213,7.076
214,7.109
215,7.142
216,7.176
217,7.209
218,7.242
219,7.276
220,7.309
221,7.343
222,7.376
223,7.409
224,7.443
225,7.476
226,7.509
227,7.543
228,7.576
229,7.609
230,7.643
231,7.676
232,7.709
233,7.743
234,7.776
235,7.810
236,7.843
237,7.876
238,7.910
239,7.943
240,7.976
241,8.010
242,8.043
243,8.076
244,8.110
245,8.143
246,8.176
247,8.210
248,8.243
249,8.276
250,8.310
251,8.343
252,8.377
253,8.410
254,8.443
255,8.477
256,8.510
257,8.543
258,8.577
259,8.610
260,8.643
261,8.677
262,8.710
263,8.743
264,8.777
265,8.810
266,8.843
267,8.877
268,8.910
269,8.944
270,8.977
271,9.010
272,9.044
273,9.077
274,9.110
275,9.144
276,9.177
277,9.210
278,9.244
279,9.277
280,9.310
281,9.344
282,9.377
283,9.411
284,9.444
285,9.477
286,9.511
287,9.544
288,9.577
289,9.611
290,9.644
291,9.677
292,9.711
293,9.744
294,9.777
295,9.811
296,9.844
297,9.877
298,9.911
299,9.944
300,9.978
301,10.011
302,10.044
303,10.078
304,10.111
305,10.144
306,10.178
307,10.211
308,10.244
309,10.278
310,10.311
311,10.344
312,10.378
313,10.411
314,10.444
315,10.478
316,10.511
317,10.545
318,10.578
319,10.611
320,10.645
321,10.678
322,10.711
323,10.745
324,10.778
325,10.811
326,10.845
327,10.878
328,10.911
329,10.945
330,10.978
331,11.011
332,11.045
333,11.078
334,11.112
335,11.145
336,11.178
337,11.212
338,11.245
339,11.278
340,11.312
341,11.345
342,11.378
343,11.412
344,11.445
345,11.478
346,11.512
347,11.545
348,11.579
349,11.612
350,11.645
351,11.679
352,11.712
353,11.745
354,11.779
355,11.812
356,11.845
357,11.879
358,11.912
359,11.945
360,11.979
361,12.012
362,12.045
363,12.079
