frame,time
1,0.014
2,0.047
3,0.081
4,0.114
5,0.147
6,0.181
7,0.214
8,0.247
9,0.281
10,0.314
11,0.347
12,0.381
13,0.414
14,0.447
15,0.481
16,0.514
17,0.547
18,0.581
19,0.614
20,0.647
21,0.681
22,0.714
23,0.747
24,0.781
25,0.814
26,0.847
27,0.881
28,0.914
29,0.947
30,0.980
31,1.014
32,1.047
33,1.080
34,1.114
35,1.147
36,1.180
37,1.214
38,1.247
39,1.280
40,1.314
41,1.347
42,1.380
43,1.414
44,1.447
45,1.480
46,1.514
47,1.547
48,1.580
49,1.614
50,1.647
51,1.680
52,1.714
53,1.747
54,1.780
55,1.814
56,1.847
57,1.880
58,1.914
59,1.947
60,1.980
61,2.014
62,2.047
63,2.080
64,2.114
65,2.147
66,2.180
67,2.214
68,2.247
69,2.280
70,2.314
71,2.347
72,2.380
73,2.414
74,2.447
75,2.480
76,2.514
77,2.547
78,2.580
79,2.614
80,2.647
81,2.680
82,2.714
83,2.747
84,2.780
85,2.814
86,2.847
87,2.880
88,2.914
89,2.947
90,2.980
91,3.013
92,3.047
93,3.080
94,3.113
95,3.147
96,3.180
97,3.213
98,3.247
99,3.280
100,3.313
101,3.347
102,3.380
103,3.413
104,3.447
105,3.480
106,3.513
107,3.547
108,3.580
109,3.613
110,3.647
111,3.680
112,3.713
113,3.747
114,3.780
115,3.813
116,3.847
117,3.880
118,3.913
119,3.947
120,3.980
121,4.013
122,4.047
123,4.080
124,4.113
125,4.147
126,4.180
127,4.213
128,4.247
129,4.280
130,4.313
131,4.347
132,4.380
133,4.413
134,4.447
135,4.480
136,4.513
137,4.547
138,4.580
139,4.613
140,4.647
141,4.680
142,4.713
143,4.747
144,4.780
145,4.813
146,4.847
147,4.880
148,4.913
149,4.947
150,4.980
151,5.013
152,5.047
153,5.080
154,5.113
155,5.146
156,5.180
157,5.213
158,5.246
159,5.280
160,5.313
161,5.346
162,5.380
163,5.413
164,5.446
165,5.480
166,5.513
167,5.546
168,5.580
169,5.613
170,5.646
171,5.680
172,5.713
173,5.746
174,5.780
175,5.813
176,5.846
177,5.880
178,5.913
179,5.946
180,5.980
181,6.013
182,6.046
183,6.080
184,6.113
185,6.146
186,6.180
187,6.213
188,6.246
189,6.280
190,6.313
191,6.346
192,6.380
193,6.413
194,6.446
195,6.480
196,6.513
197,6.546
198,6.580
199,6.613
200,6.646
201,6.680
202,6.713
203,6.746
204,6.780
205,6.813
206,6.846
207,6.880
208,6.913
209,6.946
210,6.980
211,7.013
212,7.046
213,7.080
214,7.113
215,7.146
216,7.179
217,7.213
218,7.246
219,7.279
220,7.313
221,7.346
222,7.379
223,7.413
224,7.446
225,7.479
226,7.513
227,7.546
228,7.579
229,7.613
230,7.646
231,7.679
232,7.713
233,7.746
234,7.779
235,7.813
236,7.846
237,7.879
238,7.913
239,7.946
240,7.979
241,8.013
242,8.046
243,8.079
244,8.113
245,8.146
246,8.179
247,8.213
248,8.246
249,8.279
250,8.313
251,8.346
252,8.379
253,8.413
254,8.446
255,8.479
256,8.513
257,8.546
258,8.579
259,8.613
260,8.646
261,8.679
262,8.713
263,8.746
264,8.779
265,8.813
266,8.846
267,8.879
268,8.913
269,8.946
270,8.979
271,9.013
272,9.046
273,9.079
274,9.113
275,9.146
276,9.179
277,9.213
278,9.246
279,9.279
280,9.312
281,9.346
282,9.379
283,9.412
284,9.446
285,9.479
286,9.512
287,9.546
288,9.579
289,9.612
290,9.646
291,9.679
292,9.712
293,9.746
294,9.779
295,9.812
296,9.846
297,9.879
298,9.912
299,9.946
300,9.979
301,10.012
302,10.046
303,10.079
304,10.112
305,10.146
306,10.179
307,10.212
308,10.246
309,10.279
310,10.312
311,10.346
312,10.379
313,10.412
314,10.446
315,10.479
316,10.512
317,10.546
318,10.579
319,10.612
320,10.646
321,10.679
322,10.712
323,10.746
324,10.779
325,10.812
326,10.846
327,10.879
328,10.912
329,10.946
330,10.979
331,11.012
332,11.046
333,11.079
334,11.112
335,11.146
336,11.179
337,11.212
338,11.246
339,11.279
340,11.312
341,11.345
342,11.379
343,11.412
344,11.445
345,11.479
346,11.512
347,11.545
348,11.579
349,11.612
350,11.645
351,11.679
352,11.712
353,11.745
354,11.779
355,11.812
356,11.845
357,11.879
358,11.912
359,11.945
360,11.979
361,12.012
362,12.045
363,12.079
364,12.112
365,12.145
366,12.179
367,12.212
368,12.245
369,12.279
370,12.312
371,12.345
372,12.379
373,12.412
374,12.445
375,12.479
376,12.512
377,12.545
378,12.579
379,12.612
380,12.645
381,12.679
382,12.712
383,12.745
384,12.779
385,12.812
386,12.845
387,12.879
388,12.912
389,12.945
390,12.979
391,13.012
392,13.045
393,13.079
394,13.112
395,13.145
396,13.179
397,13.212
398,13.245
399,13.279
400,13.312
401,13.345
402,13.379
403,13.412
404,13.445
405,13.478
406,13.512
407,13.545
408,13.578
409,13.612
410,13.645
411,13.678
412,13.712
413,13.745
414,13.778
415,13.812
416,13.845
417,13.878
418,13.912
419,13.945
420,13.978
421,14.012
422,14.045
423,14.078
424,14.112
425,14.145
426,14.178
427,14.212
428,14.245
429,14.278
430,14.312
431,14.345
432,14.378
433,14.412
434,14.445
435,14.478
436,14.512
437,14.545
438,14.578
439,14.612
440,14.645
441,14.678
442,14.712
443,14.745
444,14.778
445,14.812
446,14.845
447,14.878
448,14.912
449,14.945
450,14.978
451,15.012
452,15.045
453,15.078
454,15.112
455,15.145
456,15.178
457,15.212
458,15.245
459,15.278
460,15.312
461,15.345
462,15.378
463,15.412
464,15.445
465,15.478
466,15.511
467,15.545
468,15.578
469,15.611
470,15.645
471,15.678
472,15.711
473,15.745
474,15.778
475,15.811
476,15.845
477,15.878
478,15.911
479,15.945
480,15.978
481,16.011
482,16.045
483,16.078
484,16.111
485,16.145
486,16.178
487,16.211
488,16.245
489,16.278
490,16.311
491,16.345
492,16.378
493,16.411
494,16.445
495,16.478
496,16.511
497,16.545
498,16.578
499,16.611
500,16.645
501,16.678
502,16.711
503,16.745
504,16.778
505,16.811
506,16.845
507,16.878
508,16.911
509,16.945
510,16.978
511,17.011
512,17.045
513,17.078
514,17.111
515,17.145
516,17.178
517,17.211
518,17.245
519,17.278
520,17.311
521,17.345
522,17.378
523,17.411
524,17.445
525,17.478
526,17.511
527,17.545
528,17.578
529,17.611
530,17.644
531,17.678
532,17.711
533,17.744
534,17.778
535,17.811
536,17.844
537,17.878
538,17.911
539,17.944
540,17.978
541,18.011
542,18.044
543,18.078
544,18.111
545,18.144
546,18.178
547,18.211
548,18.244
549,18.278
550,18.311
551,18.344
552,18.378
553,18.411
554,18.444
555,18.478
556,18.511
557,18.544
558,18.578
559,18.611
560,18.644
