frame,time
1,0.022
2,0.055
3,0.088
4,0.122
5,0.155
6,0.188
7,0.222
8,0.255
9,0.288
10,0.322
11,0.355
12,0.388
13,0.422
14,0.455
15,0.488
16,0.522
17,0.555
18,0.588
19,0.622
20,0.655
21,0.688
22,0.722
23,0.755
24,0.788
25,0.822
26,0.855
27,0.888
28,0.922
29,0.955
30,0.988
31,1.022
32,1.055
33,1.088
34,1.121
35,1.155
36,1.188
37,1.221
38,1.255
39,1.288
40,1.321
41,1.355
42,1.388
43,1.421
44,1.455
45,1.488
46,1.521
47,1.555
48,1.588
49,1.621
50,1.655
51,1.688
52,1.721
53,1.755
54,1.788
55,1.821
56,1.855
57,1.888
58,1.921
59,1.955
60,1.988
61,2.021
62,2.055
63,2.088
64,2.121
65,2.154
66,2.188
67,2.221
68,2.254
69,2.288
70,2.321
71,2.354
72,2.388
73,2.421
74,2.454
75,2.488
76,2.521
77,2.554
78,2.588
79,2.621
80,2.654
81,2.688
82,2.721
83,2.754
84,2.788
85,2.821
86,2.854
87,2.888
88,2.921
89,2.954
90,2.988
91,3.021
92,3.054
93,3.088
94,3.121
95,3.154
96,3.187
97,3.221
98,3.254
99,3.287
100,3.321
101,3.354
102,3.387
103,3.421
104,3.454
105,3.487
106,3.521
107,3.554
108,3.587
109,3.621
110,3.654
111,3.687
112,3.721
113,3.754
114,3.787
115,3.821
116,3.854
117,3.887
118,3.921
119,3.954
120,3.987
121,4.021
122,4.054
123,4.087
124,4.121
125,4.154
126,4.187
127,4.221
128,4.254
129,4.287
130,4.320
131,4.354
132,4.387
133,4.420
134,4.454
135,4.487
136,4.520
137,4.554
138,4.587
139,4.620
140,4.654
141,4.687
142,4.720
143,4.754
144,4.787
145,4.820
146,4.854
147,4.887
148,4.920
149,4.954
150,4.987
151,5.020
152,5.054
153,5.087
154,5.120
155,5.154
156,5.187
157,5.220
158,5.254
159,5.287
160,5.320
161,5.353
162,5.387
163,5.420
164,5.453
165,5.487
166,5.520
