frame,pkt_time,best_time
1,0.000000,0.000000
2,0.033354,0.033354
3,0.066708,0.066708
4,0.100062,0.100062
5,0.133416,0.133416
6,0.166770,0.166770
7,0.200124,0.200124
8,0.233478,0.233478
9,0.266832,0.266832
10,0.300186,0.300186
11,0.333540,0.333540
12,0.366894,0.366894
13,0.400248,0.400248
14,0.433602,0.433602
15,0.466956,0.466956
16,0.500310,0.500310
17,0.533664,0.533664
18,0.567018,0.567018
19,0.600372,0.600372
20,0.633726,0.633726
21,0.667080,0.667080
22,0.700434,0.700434
23,0.733788,0.733788
24,0.767142,0.767142
25,0.800496,0.800496
26,0.833850,0.833850
27,0.867204,0.867204
28,0.900558,0.900558
29,0.933912,0.933912
30,0.967266,0.967266
31,1.000620,1.000620
32,1.033974,1.033974
33,1.067328,1.067328
34,1.100682,1.100682
35,1.134036,1.134036
36,1.167390,1.167390
37,1.200744,1.200744
38,1.234098,1.234098
39,1.267452,1.267452
40,1.300806,1.300806
41,1.334160,1.334160
42,1.367514,1.367514
43,1.400868,1.400868
44,1.434222,1.434222
45,1.467576,1.467576
46,1.500930,1.500930
47,1.534284,1.534284
48,1.567638,1.567638
49,1.600992,1.600992
50,1.634346,1.634346
51,1.667700,1.667700
52,1.701054,1.701054
53,1.734408,1.734408
54,1.767762,1.767762
55,1.801116,1.801116
56,1.834470,1.834470
57,1.867824,1.867824
58,1.901178,1.901178
59,1.934532,1.934532
60,1.967886,1.967886
61,2.001240,2.001240
62,2.034594,2.034594
63,2.067948,2.067948
64,2.101302,2.101302
65,2.134656,2.134656
66,2.168010,2.168010
67,2.201364,2.201364
68,2.234718,2.234718
69,2.268072,2.268072
70,2.301426,2.301426
71,2.334780,2.334780
72,2.368134,2.368134
73,2.401488,2.401488
74,2.434842,2.434842
75,2.468196,2.468196
76,2.501550,2.501550
77,2.534904,2.534904
78,2.568258,2.568258
79,2.601612,2.601612
80,2.634966,2.634966
81,2.668320,2.668320
82,2.701674,2.701674
83,2.735028,2.735028
84,2.768382,2.768382
85,2.801736,2.801736
86,2.835090,2.835090
87,2.868444,2.868444
88,2.901798,2.901798
89,2.935152,2.935152
90,2.968506,2.968506
91,3.001860,3.001860
92,3.035214,3.035214
93,3.068568,3.068568
94,3.101922,3.101922
95,3.135276,3.135276
96,3.168630,3.168630
97,3.201984,3.201984
98,3.235338,3.235338
99,3.268692,3.268692
100,3.302046,3.302046
101,3.335400,3.335400
102,3.368754,3.368754
103,3.402108,3.402108
104,3.435462,3.435462
105,3.468816,3.468816
106,3.502170,3.502170
107,3.535524,3.535524
108,3.568878,3.568878
109,3.602232,3.602232
110,3.635586,3.635586
111,3.668940,3.668940
112,3.702294,3.702294
113,3.735648,3.735648
114,3.769002,3.769002
115,3.802356,3.802356
116,3.835710,3.835710
117,3.869064,3.869064
118,3.902418,3.902418
119,3.935772,3.935772
120,3.969126,3.969126
121,4.002480,4.002480
122,4.035834,4.035834
123,4.069188,4.069188
124,4.102542,4.102542
125,4.135896,4.135896
126,4.169250,4.169250
127,4.202604,4.202604
128,4.235958,4.235958
129,4.269312,4.269312
130,4.302666,4.302666
131,4.336020,4.336020
132,4.369374,4.369374
133,4.402728,4.402728
134,4.436082,4.436082
135,4.469436,4.469436
136,4.502790,4.502790
137,4.536144,4.536144
138,4.569498,4.569498
139,4.602852,4.602852
140,4.636206,4.636206
141,4.669560,4.669560
142,4.702914,4.702914
143,4.736268,4.736268
144,4.769622,4.769622
145,4.802976,4.802976
146,4.836330,4.836330
147,4.869684,4.869684
148,4.903038,4.903038
149,4.936392,4.936392
150,4.969746,4.969746
151,5.003100,5.003100
152,5.036454,5.036454
153,5.069808,5.069808
154,5.103162,5.103162
155,5.136516,5.136516
156,5.169870,5.169870
157,5.203224,5.203224
158,5.236578,5.236578
159,5.269932,5.269932
160,5.303286,5.303286
161,5.336640,5.336640
162,5.369994,5.369994
163,5.403348,5.403348
164,5.436702,5.436702
165,5.470056,5.470056
166,5.503410,5.503410
167,5.536764,5.536764
168,5.570118,5.570118
169,5.603472,5.603472
170,5.636826,5.636826
171,5.670180,5.670180
172,5.703534,5.703534
173,5.736888,5.736888
174,5.770242,5.770242
175,5.803596,5.803596
176,5.836950,5.836950
177,5.870304,5.870304
178,5.903658,5.903658
179,5.937012,5.937012
180,5.970366,5.970366
181,6.003720,6.003720
182,6.037074,6.037074
183,6.070428,6.070428
184,6.103782,6.103782
185,6.137136,6.137136
186,6.170490,6.170490
187,6.203844,6.203844
188,6.237198,6.237198
189,6.270552,6.270552
190,6.303906,6.303906
191,6.337260,6.337260
192,6.370614,6.370614
193,6.403968,6.403968
194,6.437322,6.437322
195,6.470676,6.470676
196,6.504030,6.504030
197,6.537384,6.537384
198,6.570738,6.570738
199,6.604092,6.604092
200,6.637446,6.637446
201,6.670800,6.670800
202,6.704154,6.704154
203,6.737508,6.737508
204,6.770862,6.770862
205,6.804216,6.804216
206,6.837570,6.837570
207,6.870924,6.870924
208,6.904278,6.904278
209,6.937632,6.937632
210,6.970986,6.970986
211,7.004340,7.004340
212,7.037694,7.037694
213,7.071048,7.071048
214,7.104402,7.104402
215,7.137756,7.137756
216,7.171110,7.171110
217,7.204464,7.204464
218,7.237818,7.237818
219,7.271172,7.271172
220,7.304526,7.304526
221,7.337880,7.337880
222,7.371234,7.371234
223,7.404588,7.404588
224,7.437942,7.437942
225,7.471296,7.471296
226,7.504650,7.504650
227,7.538004,7.538004
228,7.571358,7.571358
229,7.604712,7.604712
230,7.638066,7.638066
231,7.671420,7.671420
232,7.704774,7.704774
233,7.738128,7.738128
234,7.771482,7.771482
235,7.804836,7.804836
236,7.838190,7.838190
237,7.871544,7.871544
238,7.904898,7.904898
239,7.938252,7.938252
240,7.971606,7.971606
241,8.004960,8.004960
242,8.038314,8.038314
243,8.071668,8.071668
244,8.105022,8.105022
245,8.138376,8.138376
246,8.171730,8.171730
247,8.205084,8.205084
248,8.238438,8.238438
249,8.271792,8.271792
250,8.305146,8.305146
251,8.338500,8.338500
252,8.371854,8.371854
253,8.405208,8.405208
254,8.438562,8.438562
255,8.471916,8.471916
256,8.505270,8.505270
257,8.538624,8.538624
258,8.571978,8.571978
259,8.605332,8.605332
260,8.638686,8.638686
261,8.672040,8.672040
262,8.705394,8.705394
263,8.738748,8.738748
264,8.772102,8.772102
265,8.805456,8.805456
266,8.838810,8.838810
267,8.872164,8.872164
268,8.905518,8.905518
269,8.938872,8.938872
270,8.972226,8.972226
271,9.005580,9.005580
272,9.038934,9.038934
273,9.072288,9.072288
274,9.105642,9.105642
275,9.138996,9.138996
276,9.172350,9.172350
277,9.205704,9.205704
278,9.239058,9.239058
279,9.272412,9.272412
280,9.305766,9.305766
281,9.339120,9.339120
282,9.372474,9.372474
283,9.405828,9.405828
284,9.439182,9.439182
285,9.472536,9.472536
286,9.505890,9.505890
287,9.539244,9.539244
288,9.572598,9.572598
289,9.605952,9.605952
290,9.639306,9.639306
291,9.672660,9.672660
292,9.706014,9.706014
293,9.739368,9.739368
294,9.772722,9.772722
295,9.806076,9.806076
296,9.839430,9.839430
297,9.872784,9.872784
298,9.906138,9.906138
299,9.939492,9.939492
300,9.972846,9.972846
301,10.006200,10.006200
302,10.039554,10.039554
303,10.072908,10.072908
304,10.106262,10.106262
305,10.139616,10.139616
306,10.172970,10.172970
307,10.206324,10.206324
308,10.239678,10.239678
309,10.273032,10.273032
310,10.306386,10.306386
311,10.339740,10.339740
312,10.373094,10.373094
313,10.406448,10.406448
314,10.439802,10.439802
315,10.473156,10.473156
316,10.506510,10.506510
317,10.539864,10.539864
318,10.573218,10.573218
319,10.606572,10.606572
320,10.639926,10.639926
321,10.673280,10.673280
322,10.706634,10.706634
323,10.739988,10.739988
324,10.773342,10.773342
325,10.806696,10.806696
326,10.840050,10.840050
327,10.873404,10.873404
328,10.906758,10.906758
329,10.940112,10.940112
330,10.973466,10.973466
331,11.006820,11.006820
332,11.040174,11.040174
333,11.073528,11.073528
334,11.106882,11.106882
335,11.140236,11.140236
336,11.173590,11.173590
337,11.206944,11.206944
338,11.240298,11.240298
339,11.273652,11.273652
340,11.307006,11.307006
341,11.340360,11.340360
342,11.373714,11.373714
343,11.407068,11.407068
344,11.440422,11.440422
345,11.473776,11.473776
346,11.507130,11.507130
347,11.540484,11.540484
348,11.573838,11.573838
349,11.607192,11.607192
350,11.640546,11.640546
351,11.673900,11.673900
352,11.707254,11.707254
353,11.740608,11.740608
354,11.773962,11.773962
355,11.807316,11.807316
356,11.840670,11.840670
357,11.874024,11.874024
358,11.907378,11.907378
359,11.940732,11.940732
360,11.974086,11.974086
361,12.007440,12.007440
362,12.040794,12.040794
363,12.074148,12.074148
364,12.107502,12.107502
365,12.140856,12.140856
366,12.174210,12.174210
367,12.207564,12.207564
368,12.240918,12.240918
369,12.274272,12.274272
370,12.307626,12.307626
371,12.340980,12.340980
372,12.374334,12.374334
373,12.407688,12.407688
374,12.441042,12.441042
375,12.474396,12.474396
376,12.507750,12.507750
377,12.541104,12.541104
378,12.574458,12.574458
379,12.607812,12.607812
380,12.641166,12.641166
381,12.674520,12.674520
382,12.707874,12.707874
383,12.741228,12.741228
384,12.774582,12.774582
385,12.807936,12.807936
386,12.841290,12.841290
387,12.874644,12.874644
388,12.907998,12.907998
389,12.941352,12.941352
390,12.974706,12.974706
391,13.008060,13.008060
392,13.041414,13.041414
393,13.074768,13.074768
394,13.108122,13.108122
395,13.141476,13.141476
396,13.174830,13.174830
397,13.208184,13.208184
398,13.241538,13.241538
399,13.274892,13.274892
400,13.308246,13.308246
401,13.341600,13.341600
402,13.374954,13.374954
403,13.408308,13.408308
404,13.441662,13.441662
405,13.475016,13.475016
406,13.508370,13.508370
407,13.541724,13.541724
408,13.575078,13.575078
409,13.608432,13.608432
410,13.641786,13.641786
411,13.675140,13.675140
412,13.708494,13.708494
413,13.741848,13.741848
414,13.775202,13.775202
415,13.808556,13.808556
416,13.841910,13.841910
417,13.875264,13.875264
418,13.908618,13.908618
419,13.941972,13.941972
420,13.975326,13.975326
421,14.008680,14.008680
422,14.042034,14.042034
423,14.075388,14.075388
424,14.108742,14.108742
425,14.142096,14.142096
426,14.175450,14.175450
427,14.208804,14.208804
428,14.242158,14.242158
429,14.275512,14.275512
430,14.308866,14.308866
431,14.342220,14.342220
432,14.375574,14.375574
433,14.408928,14.408928
434,14.442282,14.442282
435,14.475636,14.475636
436,14.508990,14.508990
437,14.542344,14.542344
438,14.575698,14.575698
439,14.609052,14.609052
440,14.642406,14.642406
441,14.675760,14.675760
442,14.709114,14.709114
443,14.742468,14.742468
444,14.775822,14.775822
445,14.809176,14.809176
446,14.842530,14.842530
447,14.875884,14.875884
448,14.909238,14.909238
449,14.942592,14.942592
450,14.975946,14.975946
451,15.009300,15.009300
452,15.042654,15.042654
453,15.076008,15.076008
454,15.109362,15.109362
455,15.142716,15.142716
456,15.176070,15.176070
457,15.209424,15.209424
458,15.242778,15.242778
459,15.276132,15.276132
460,15.309486,15.309486
461,15.342840,15.342840
462,15.376194,15.376194
463,15.409548,15.409548
464,15.442902,15.442902
