code,start,stop,type,orient
not-in-frame,40562,50659,NIF,NIF
not-in-frame,64430,67830,NIF,NIF
not-in-frame,77077,83402,NIF,NIF
not-in-frame,124124,128758,NIF,NIF
not-in-frame,132668,135183,NIF,NIF
not-in-frame,148172,155885,NIF,NIF
not-in-frame,214302,220354,NIF,NIF
not-in-frame,317436,354722,NIF,NIF
not-in-frame,356432,359418,NIF,NIF
not-in-frame,376006,406708,NIF,NIF
not-in-frame,410380,429318,NIF,NIF
not-in-frame,438668,473280,NIF,NIF
not-in-frame,474955,480624,NIF,NIF
not-in-frame,482290,488852,NIF,NIF
not-in-frame,503431,516477,NIF,NIF
not-in-frame,535892,538696,NIF,NIF
not-in-frame,608974,615672,NIF,NIF
not-in-frame,640459,756012,NIF,NIF
not-in-frame,793832,797096,NIF,NIF
not-in-frame,799272,812940,NIF,NIF
not-in-frame,816714,834843,NIF,NIF
not-in-frame,836132,838440,NIF,NIF
not-in-frame,843200,850169,NIF,NIF
not-in-frame,856528,905650,NIF,NIF
posture,32679,36651,st,1
posture,36652,37709,st,2
posture,37710,53578,st,0
posture,53579,58676,st,1
posture,58677,61970,st,0
posture,61971,63545,st,1
posture,63546,66546,st,3
posture,66547,71207,st,1
posture,71208,73003,st,3
posture,73004,81803,st,0
posture,81804,90167,st,2
posture,90168,94179,st,3
posture,94180,101931,st,2
posture,101932,114684,st,1
posture,114685,118897,p,1
posture,118898,121685,si,1
posture,121686,124343,st,1
posture,124344,129335,st,2
posture,129336,136815,st,0
posture,136816,148375,st,1
posture,148376,153494,st,2
posture,153495,192228,st,1
posture,192229,193788,st,2
posture,193789,202843,st,0
posture,202844,212838,st,1
posture,212839,225828,st,0
posture,225829,306645,st,1
posture,306646,310839,p,1
posture,310840,360524,st,1
posture,360525,373242,st,3
posture,373243,406605,st,1
posture,406606,409889,st,3
posture,409890,485587,st,1
posture,485588,490415,st,3
posture,490416,496780,st,0
posture,496781,499357,st,1
posture,499358,502587,si,2
posture,502588,529243,st,1
posture,529244,536004,st,2
posture,536004,538844,st,0
posture,538844,541801,st,1
posture,541802,546957,si,1
posture,546958,549865,si,3
posture,549866,553757,l,2
posture,553758,580126,l,1
posture,580127,601590,si,1
posture,601591,607847,st,1
posture,607848,617103,st,0
posture,617104,632977,st,1
posture,632978,636719,p,1
posture,636720,660901,st,1
posture,660902,678999,st,2
posture,679000,726824,st,1
posture,726825,755343,st,2
posture,755344,759730,c,NaN
posture,759730,770337,si,1
posture,770338,774009,st,1
posture,774010,779608,p,2
posture,779609,787304,st,0
posture,787305,792117,st,1
posture,792118,798352,st,0
posture,798353,812816,st,1
posture,812817,815523,st,3
posture,815524,831966,st,1
posture,831967,838745,st,3
posture,838746,841791,p,3
posture,841792,848127,st,2
posture,848128,850800,st,3
posture,850801,855149,st,0
posture,855150,868427,st,1
posture,868428,874109,p,3
posture,874110,877978,st,2
posture,877979,885678,si,2
posture,885679,890229,st,1
posture,890230,898316,st,2
posture,898317,906744,st,1
posture,906745,913351,st,2
