code,start,stop,type,orient
not-in-frame,74069,79152,NIF,NIF
not-in-frame,144806,147492,NIF,NIF
not-in-frame,233410,239953,NIF,NIF
not-in-frame,258306,277814,NIF,NIF
not-in-frame,565669,570248,NIF,NIF
not-in-frame,669735,682051,NIF,NIF
not-in-frame,958829,961598,NIF,NIF
posture,45421,61689,st,2
posture,61690,64837,si,2
posture,64838,71106,st,2
posture,71107,73517,st,3
posture,73518,83466,st,0
posture,83467,96624,st,2
posture,96625,103937,si,2
posture,103938,105554,st,1
posture,105555,108856,st,2
posture,108857,110280,st,3
posture,110281,113457,st,0
posture,113458,131103,st,1
posture,131104,136435,si,2
posture,136436,141009,st,2
posture,141010,143805,st,3
posture,143806,149657,st,0
posture,149658,154682,st,2
posture,154683,158810,st,1
posture,158811,164525,si,2
posture,164526,165743,st,1
posture,165744,167274,st,2
posture,167274,173977,si,2
posture,173978,203427,p,0
posture,203428,211428,st,0
posture,211429,218466,si,0
posture,218467,231607,si,1
posture,231608,240277,st,0
posture,240278,247736,si,1
posture,247737,251660,p,1
posture,251661,257447,p,2
posture,257448,268294,p,0
posture,268294,275208,st,0
posture,275209,278104,p,0
posture,278105,284715,p,1
posture,284716,291765,st,2
posture,291766,293609,st,3
posture,293610,304707,si,3
posture,304708,308005,st,2
posture,308006,313611,st,1
posture,313612,319089,st,3
posture,319090,320755,si,3
posture,320756,326297,st,1
posture,326298,331329,si,2
posture,331330,339914,st,1
posture,339915,356285,st,2
posture,356286,369742,st,1
posture,369743,377331,si,2
posture,377332,440094,si,1
posture,440095,445604,si,2
posture,445604,450533,p,3
posture,450534,456415,si,1
posture,456416,464882,p,2
posture,464882,546073,si,2
posture,546074,558405,p,2
posture,558406,561475,si,3
posture,561476,563073,p,3
posture,563074,565224,st,2
posture,565225,570689,st,0
posture,570690,574463,st,1
posture,574464,600473,si,1
posture,600474,665209,si,2
posture,665210,670785,p,3
posture,670786,685507,si,3
posture,685508,689213,p,2
posture,689214,705635,si,3
posture,705636,709375,p,1
posture,709376,723859,si,1
posture,723860,734219,si,2
posture,734220,768025,si,1
posture,768026,772887,p,2
posture,772888,777681,p,0
posture,777682,780775,st,0
posture,780776,783495,st,1
posture,783496,924815,si,1
posture,924816,937141,p,2
posture,937142,962274,si,2
posture,962275,977333,si,1
posture,977334,980307,si,2
