code,onset,offset,type,orient
posture,50700,111043,si,3
posture,111044,176799,p,3
posture,176800,298383,p,2
posture,298384,321435,p,3
posture,321436,365431,p,2
posture,365432,504840,si,1
posture,504841,517173,p,2
posture,517174,595577,si,1
posture,595578,604370,p,1
posture,604371,752509,si,1
posture,752510,770677,p,2
posture,770678,781795,p,3
posture,781796,812565,si,3
posture,812566,815726,p,3
posture,815727,848707,si,3
posture,848708,854335,p,3
posture,854336,860128,si,3
posture,860129,886621,si,2
posture,886622,904991,p,3
posture,904992,981953,si,3
posture,981954,992969,p,3
posture,992970,994586,si,3
not-in-frame,NaN,NaN,NIF,NIF
