code,start,stop,type,orient
NIF,39195,124773,NIF,NIF
NIF,142890,157410,NIF,NIF
NIF,159093,173811,NIF,NIF
NIF,175725,188925,NIF,NIF
NIF,193116,199881,NIF,NIF
NIF,206712,210276,NIF,NIF
NIF,211695,232551,NIF,NIF
NIF,276177,290631,NIF,NIF
NIF,333763,343200,NIF,NIF
NIF,344718,346632,NIF,NIF
NIF,347725,354420,NIF,NIF
posture,26167,30788,st,2
posture,30789,36023,st,1
posture,36024,37736,st,2
posture,37737,40907,st,3
posture,40908,51347,si,2
posture,51348,65603,st,2
posture,65604,68969,st,1
posture,68970,81096,st,2
posture,81097,98596,st,1
posture,98597,108536,st,3
posture,108537,109965,st,1
posture,109966,127346,st,2
posture,127347,134303,si,2
posture,134304,137716,st,2
posture,137717,141269,st,3
posture,141270,143670,st,1
posture,143671,148281,st,3
posture,148282,157145,st,1
posture,157146,158509,sr,2
posture,158510,162084,st,3
posture,162085,168416,st,1
posture,168417,176034,st,2
posture,176035,177364,st,3
posture,177365,195700,st,0
posture,195701,200927,st,2
posture,200928,208922,st,3
posture,208923,210279,st,1
posture,210280,211643,st,2
posture,211644,218747,st,0
posture,218748,226808,st,2
posture,226809,231478,st,1
posture,231479,234399,st,3
posture,234400,235993,st,0
posture,235994,240015,st,3
posture,240016,250677,si,2
posture,250678,259013,st,2
posture,259014,278420,st,0
posture,278421,280592,st,2
posture,280593,286538,st,3
posture,286539,290729,p,2
posture,290730,291884,st,2
posture,291885,293641,p,3
posture,293642,298677,st,1
posture,298678,300134,si,2
posture,300135,308021,st,1
posture,308022,309196,st,3
posture,314628,326503,st,1
posture,326504,329240,st,2
posture,329241,331121,st,1
posture,331122,340572,st,2
posture,340573,346334,st,1
posture,346335,347918,st,2
posture,347919,351101,st,0
posture,351102,352769,st,3
posture,352770,354880,st,2
posture,354881,359600,st,0
posture,359601,363478,si,3
posture,363479,367962,st,3
posture,367963,382967,st,1
