code,start,stop,type,orient
not-in-frame,109922,121074,NIF,NIF
not-in-frame,317593,337892,NIF,NIF
not-in-frame,376581,380154,NIF,NIF
not-in-frame,387069,423559,NIF,NIF
not-in-frame,423560,423683,NIF,NIF
not-in-frame,423684,425111,NIF,NIF
not-in-frame,560954,579460,NIF,NIF
posture,8458,16490,si,3
posture,16491,30127,si,1
posture,30127,64055,si,0
posture,64056,65211,p,0
posture,65212,82007,si,1
posture,82008,89113,si,2
posture,89114,109894,si,1
posture,109895,128203,p,2
posture,128204,264655,si,2
posture,264656,273530,p,0
posture,273530,276351,si,0
posture,276352,290257,st,0
posture,290258,306374,l,0
posture,311236,314941,si,0
posture,314942,323424,p,2
posture,323425,340815,st,2
posture,340816,348295,p,3
posture,348296,353531,si,1
posture,353532,356625,p,2
posture,356626,373557,si,2
posture,373558,386341,st,1
posture,386342,400825,st,2
posture,400826,431623,p,2
posture,431624,440298,si,2
posture,440299,483037,si,3
posture,483038,504185,si,2
posture,504186,537539,si,3
posture,557158,577552,p,3
posture,577553,590267,p,1
posture,590268,596495,si,2
posture,596496,598059,si,1
posture,598060,615399,si,2
posture,615400,639539,si,3
posture,639540,674219,si,2
posture,674220,718353,si,1
