code,start,stop,type,orient
not-in-frame,610170,617826,NIF,NIF
not-in-frame,679833,698775,NIF,NIF
not-in-frame,711177,738045,NIF,NIF
not-in-frame,772200,787314,NIF,NIF
not-in-frame,793815,806091,NIF,NIF
posture,559749,602546,si,1
posture,602547,607034,st,1
posture,607035,610235,st,2
posture,610236,611545,st,3
posture,611546,616066,si,3
posture,616067,623602,st,1
posture,623603,624838,st,3
posture,624839,628766,si,3
posture,628767,630791,st,3
posture,630792,647657,st,1
posture,647658,649373,si,1
posture,649374,651386,p,2
posture,651387,653828,si,3
posture,653829,678479,st,1
posture,678480,681350,st,3
posture,681351,709438,st,1
posture,709439,717551,p,2
posture,717552,720343,si,3
posture,720344,725231,st,3
posture,725232,730041,st,1
posture,730042,736348,st,2
posture,736349,737700,st,1
posture,737701,740530,st,2
posture,740531,743753,si,2
posture,743754,771704,st,1
posture,771705,774694,st,2
posture,774695,782658,si,2
posture,782659,791042,st,1
posture,791043,792890,p,2
posture,792891,794211,st,2
posture,794212,831302,si,1
posture,831303,832660,st,1
