code,start,stop,time,orient
posture,252450,270362,c,0
posture,270363,274425,c,1
posture,274426,353667,c,0
posture,353668,359583,c,2
posture,359584,370419,si,0
posture,370420,373920,c,2
posture,373921,389947,si,2
posture,389948,394796,c,3
posture,394797,425995,c,0
posture,425996,427736,c,2
posture,427737,434257,c,0
posture,434258,437598,c,1
posture,437599,441079,si,1
posture,441080,443764,si,3
posture,443765,450337,c,3
posture,450338,463408,si,0
posture,463409,481134,c,0
posture,481135,486298,si,2
posture,486299,531759,c,0
posture,531760,535285,c,2
posture,535286,546791,si,1
posture,546792,551253,si,3
posture,551253,560643,c,0
posture,560644,585569,si,2
posture,585570,609486,si,0
posture,609486,634597,NaN,NaN
posture,634597,678868,si,2
posture,678868,686156,NaN,NaN
posture,686156,689292,c,2
posture,689293,693019,si,1
posture,692477,697114,c,2
posture,697115,703506,st,1
posture,703507,708770,si,3
posture,708771,710023,c,3
posture,710024,712279,si,3
posture,712280,715473,si,1
posture,715473,717693,c,3
posture,717694,727654,s,0
posture,727655,729601,c,0
posture,729602,737020,si,2
posture,737020,772070,NaN,NaN
posture,772070,809532,si,1
posture,809533,811740,c,1
posture,811741,854187,si,1
posture,854187,864828,NaN,NaN
posture,864828,869512,si,2
posture,869513,875989,c,0
posture,875989,891990,NaN,NaN
posture,891990,896464,c,0
posture,896465,904764,si,2
posture,904765,911865,c,3
posture,911866,916469,c,1
posture,916470,920488,c,2
posture,920489,929650,c,3
posture,929651,977092,si,0
