code,start,stop,type,orient
not-in-frame,8973,48688,NIF,NIF
not-in-frame,78132,99927,NIF,NIF
not-in-frame,214191,221874,NIF,NIF
posture,8973,47974,p,0
posture,47974,58411,p,1
posture,58412,75820,p,2
posture,75821,101295,p,0
posture,101296,107201,p,1
posture,107202,110057,si,1
posture,110058,133755,st,1
posture,133756,163335,si,3
posture,163336,167279,l,2
posture,167280,172073,st,1
posture,172074,180636,p,2
posture,180637,215185,p,0
posture,215186,222631,st,0
posture,222632,234355,p,1
posture,234356,270061,si,1
posture,270062,275234,p,1
posture,275235,303632,si,0
posture,303633,315349,p,2
posture,315350,324019,si,0
posture,324020,332519,p,0
posture,332520,344731,si,0
posture,344732,347945,p,0
posture,347946,355877,si,0
posture,355878,361045,p,1
posture,361046,401199,si,0
posture,401200,413439,p,1
posture,413440,454953,si,2
posture,454954,461519,p,2
posture,461520,472708,p,0
posture,472709,477223,p,1
posture,477224,506327,st,1
posture,506328,540693,si,3
posture,540694,543615,p,3
posture,543616,550765,p,0
posture,550766,560591,st,0
posture,560592,574773,p,1
posture,574774,636003,si,1
posture,636004,684803,st,1
posture,684804,699889,st,0
posture,699890,729095,si,1
posture,729096,783869,st,1
posture,783870,816339,si,3
posture,816340,893145,st,1
posture,893146,906848,si,2
posture,906848,923405,si,0
posture,923406,930217,si,2
