code,start,stop,type,orient
not-in-frame,735760,743784,NIF,NIF
not-in-frame,748062,759730,NIF,NIF
not-in-frame,819808,827832,NIF,NIF
posture,5054,21204,si,2
posture,21205,34863,si,3
posture,34864,39052,p,2
posture,39053,53784,st,2
posture,53785,57887,st,1
posture,57888,67965,st,2
posture,67966,84965,si,2
posture,84966,101569,st,2
posture,101570,133177,si,2
posture,133178,213025,st,1
posture,213026,218959,si,1
posture,218960,315417,st,1
posture,315418,319516,st,3
posture,319517,324326,st,2
posture,324327,340444,st,1
posture,340445,356851,si,1
posture,356852,362534,si,2
posture,362535,365781,st,3
posture,365782,367539,st,2
posture,367540,370565,p,2
posture,370566,381083,st,1
posture,381084,387159,st,2
posture,387160,389906,si,3
posture,389907,396881,st,3
posture,396882,401151,st,0
posture,401152,410481,si,0
posture,410482,413790,st,0
posture,413791,415878,st,1
posture,415879,421986,st,2
posture,421987,470679,st,1
posture,470680,476248,st,2
posture,476249,483785,si,2
posture,483786,494348,st,2
posture,494349,508209,st,1
posture,508210,554309,si,2
posture,554310,612849,si,1
posture,612850,617434,p,2
posture,617435,624171,st,2
posture,624172,632025,st,1
posture,632026,634216,st,3
posture,634217,652256,si,3
posture,652257,665122,st,3
posture,665123,685221,st,2
posture,685222,687716,p,2
posture,687717,693269,st,2
posture,693270,724437,si,2
posture,724438,727391,st,2
posture,727392,733395,st,1
posture,733396,736031,si,1
posture,736032,744055,st,2
posture,744056,745449,p,2
posture,745450,759763,st,2
posture,759764,781421,si,2
posture,781422,790981,st,1
posture,790982,802361,p,1
posture,802362,808825,si,1
posture,808826,820879,st,1
posture,820880,830446,st,2
posture,830447,834933,p,0
posture,834934,838381,st,0
posture,838382,841197,p,0
posture,841198,847143,st,0
posture,847144,852251,p,0
posture,852252,881624,st,1
posture,881625,888182,si,3
