code,start,stop,type,orient
posture,117096,128177,st,2
posture,128178,131067,st,2
posture,131068,143593,st,0
posture,143593,148684,st,2
posture,148685,151025,st,3
posture,151025,180202,NaN,NaN
posture,180202,183091,st,0
posture,183092,189551,st,1
posture,189552,198519,st,2
posture,198519,208931,st,0
posture,208932,220887,st,1
posture,220888,225322,si,1
posture,225323,246150,st,0
posture,246150,253092,st,1
posture,253093,260131,st,0
posture,260132,269291,st,2
posture,269292,283563,st,1
posture,283564,287034,st,0
posture,287035,301593,st,1
posture,301594,304678,st,3
posture,304679,314899,st,0
posture,314900,325505,st,2
posture,325506,336883,st,0
posture,336884,342475,st,2
posture,342476,348260,st,1
posture,348261,349610,st,2
posture,349611,365037,st,3
posture,365038,420189,st,1
posture,420190,426360,st,3
posture,426361,436581,st,1
posture,436582,442848,st,0
posture,442849,445548,st,0
posture,445549,454418,st,0
posture,454419,468013,st,1
posture,468014,480740,st,3
posture,480741,486429,st,1
posture,486430,494335,st,2
posture,494336,557105,st,1
posture,557105,557104,st,2
posture,557105,572242,st,3
posture,572243,576388,st,1
posture,576389,585741,st,3
posture,585742,605796,st,0
posture,605797,649633,st,0
posture,649633,658985,st,1
posture,658986,672485,NaN,NaN
posture,672485,675859,st,0
posture,675860,691575,si,0
posture,691576,704495,st,0
posture,704496,710569,st,1
posture,710570,714330,st,0
