code,start,stop,type,orient
not-in-frame,35442,55374,NIF,NIF
not-in-frame,258093,259554,NIF,NIF
not-in-frame,275880,280929,NIF,NIF
not-in-frame,315183,340593,NIF,NIF
not-in-frame,406329,410883,NIF,NIF
posture,13804,22736,si,2
posture,22737,33659,si,3
posture,33660,59029,p,0
posture,59030,91343,si,0
posture,91344,98735,p,0
posture,98736,110285,si,0
posture,110286,113520,p,0
posture,113520,117182,si,2
posture,117183,120845,si,0
posture,120846,136553,si,1
posture,136554,140381,p,2
posture,140382,144671,si,3
posture,144672,146057,p,3
posture,146058,156320,si,3
posture,156321,162095,p,2
posture,162096,163943,c,NaN
posture,163944,171137,si,2
posture,171138,173792,p,3
posture,173793,175757,si,2
posture,175758,211133,si,1
posture,211134,217172,p,2
posture,217173,228986,si,2
posture,228987,232781,si,1
posture,232782,240459,st,1
posture,240460,244727,si,1
posture,244728,246542,c,NaN
posture,246543,247763,si,1
posture,247764,251261,p,2
posture,251262,257168,p,3
posture,257169,259313,p,0
posture,259314,268256,si,3
posture,268257,272117,l,2
posture,272118,283436,c,NaN
posture,283437,312113,si,2
posture,312114,315467,p,0
posture,340857,352142,p,1
posture,352143,358214,si,2
posture,358215,361580,p,2
posture,361581,363659,si,3
posture,363660,368312,si,0
posture,368313,369566,p,2
posture,369567,392270,si,1
posture,392271,400850,si,2
posture,400851,413423,c,NaN
posture,413424,445994,si,2
posture,445995,486496,si,1
posture,486497,494372,p,2
posture,494373,497672,si,3
