frame,pkt_time,best_time
1,0.000000,0.000000
2,0.032258,0.032258
3,0.064516,0.064516
4,0.096774,0.096774
5,0.161290,0.161290
6,0.193548,0.193548
7,0.225806,0.225806
8,0.258064,0.258064
9,0.322580,0.322580
10,0.354838,0.354838
11,0.387096,0.387096
12,0.419354,0.419354
13,0.483870,0.483870
14,0.516128,0.516128
15,0.548386,0.548386
16,0.580644,0.580644
17,0.645160,0.645160
18,0.677418,0.677418
19,0.709676,0.709676
20,0.741934,0.741934
21,0.806450,0.806450
22,0.838708,0.838708
23,0.870966,0.870966
24,0.903224,0.903224
25,0.967740,0.967740
26,0.999998,0.999998
27,1.032256,1.032256
28,1.064514,1.064514
29,1.129030,1.129030
30,1.161288,1.161288
31,1.193546,1.193546
32,1.258062,1.258062
33,1.290320,1.290320
34,1.322578,1.322578
35,1.354836,1.354836
36,1.419352,1.419352
37,1.451610,1.451610
38,1.483868,1.483868
39,1.516126,1.516126
40,1.580642,1.580642
41,1.612900,1.612900
42,1.645158,1.645158
43,1.677416,1.677416
44,1.709674,1.709674
45,1.774190,1.774190
46,1.806448,1.806448
47,1.838706,1.838706
48,1.870964,1.870964
49,1.935480,1.935480
50,1.999996,1.999996
51,2.032254,2.032254
52,2.064512,2.064512
53,2.096770,2.096770
54,2.129028,2.129028
55,2.161286,2.161286
56,2.193544,2.193544
57,2.258060,2.258060
58,2.290318,2.290318
59,2.322576,2.322576
60,2.354834,2.354834
61,2.419350,2.419350
62,2.451608,2.451608
63,2.483866,2.483866
64,2.516124,2.516124
65,2.580640,2.580640
66,2.612898,2.612898
67,2.645156,2.645156
68,2.677414,2.677414
69,2.741930,2.741930
70,2.774188,2.774188
71,2.806446,2.806446
72,2.838704,2.838704
73,2.903220,2.903220
74,2.935478,2.935478
75,2.967736,2.967736
76,2.999994,2.999994
77,3.064510,3.064510
78,3.096768,3.096768
79,3.129026,3.129026
80,3.161284,3.161284
81,3.225800,3.225800
82,3.258058,3.258058
83,3.290316,3.290316
84,3.322574,3.322574
85,3.387090,3.387090
86,3.419348,3.419348
87,3.451606,3.451606
88,3.483864,3.483864
89,3.548380,3.548380
90,3.580638,3.580638
91,3.612896,3.612896
92,3.645154,3.645154
93,3.709670,3.709670
94,3.741928,3.741928
95,3.774186,3.774186
96,3.806444,3.806444
97,3.870960,3.870960
98,3.903218,3.903218
99,3.935476,3.935476
100,3.967734,3.967734
101,4.032250,4.032250
102,4.064508,4.064508
103,4.096766,4.096766
104,4.129024,4.129024
105,4.193540,4.193540
106,4.225798,4.225798
107,4.258056,4.258056
108,4.290314,4.290314
109,4.354830,4.354830
110,4.387088,4.387088
111,4.419346,4.419346
112,4.451604,4.451604
113,4.516120,4.516120
114,4.548378,4.548378
115,4.612894,4.612894
116,4.645152,4.645152
117,4.709668,4.709668
118,4.741926,4.741926
119,4.806442,4.806442
120,4.838700,4.838700
121,4.903216,4.903216
122,4.967732,4.967732
123,4.999990,4.999990
124,5.064506,5.064506
125,5.096764,5.096764
126,5.161280,5.161280
127,5.193538,5.193538
128,5.258054,5.258054
129,5.290312,5.290312
130,5.354828,5.354828
131,5.387086,5.387086
132,5.451602,5.451602
133,5.516118,5.516118
134,5.548376,5.548376
135,5.612892,5.612892
136,5.645150,5.645150
137,5.709666,5.709666
138,5.741924,5.741924
139,5.806440,5.806440
140,5.838698,5.838698
141,5.903214,5.903214
142,5.967730,5.967730
143,5.999988,5.999988
144,6.064504,6.064504
145,6.096762,6.096762
146,6.161278,6.161278
147,6.193536,6.193536
148,6.258052,6.258052
149,6.290310,6.290310
150,6.322568,6.322568
151,6.354826,6.354826
152,6.419342,6.419342
153,6.451600,6.451600
154,6.483858,6.483858
155,6.516116,6.516116
156,6.580632,6.580632
157,6.612890,6.612890
158,6.645148,6.645148
159,6.677406,6.677406
160,6.741922,6.741922
161,6.774180,6.774180
162,6.806438,6.806438
163,6.838696,6.838696
164,6.903212,6.903212
165,6.935470,6.935470
166,6.967728,6.967728
167,6.999986,6.999986
168,7.064502,7.064502
169,7.096760,7.096760
170,7.129018,7.129018
171,7.161276,7.161276
172,7.225792,7.225792
173,7.258050,7.258050
174,7.290308,7.290308
175,7.322566,7.322566
176,7.387082,7.387082
177,7.419340,7.419340
178,7.451598,7.451598
179,7.483856,7.483856
180,7.548372,7.548372
181,7.580630,7.580630
182,7.645146,7.645146
183,7.709662,7.709662
184,7.741920,7.741920
185,7.806436,7.806436
186,7.838694,7.838694
187,7.903210,7.903210
188,7.935468,7.935468
189,7.999984,7.999984
190,8.032242,8.032242
191,8.096758,8.096758
192,8.129016,8.129016
193,8.161274,8.161274
194,8.193532,8.193532
195,8.225790,8.225790
196,8.290306,8.290306
197,8.322564,8.322564
198,8.387080,8.387080
199,8.419338,8.419338
200,8.451596,8.451596
201,8.483854,8.483854
202,8.548370,8.548370
203,8.580628,8.580628
204,8.612886,8.612886
205,8.645144,8.645144
206,8.709660,8.709660
207,8.741918,8.741918
208,8.774176,8.774176
209,8.806434,8.806434
210,8.838692,8.838692
211,8.903208,8.903208
212,8.935466,8.935466
213,8.999982,8.999982
214,9.032240,9.032240
215,9.096756,9.096756
216,9.129014,9.129014
217,9.193530,9.193530
218,9.258046,9.258046
219,9.290304,9.290304
220,9.354820,9.354820
221,9.387078,9.387078
222,9.451594,9.451594
223,9.483852,9.483852
224,9.548368,9.548368
225,9.612884,9.612884
226,9.645142,9.645142
227,9.677400,9.677400
228,9.709658,9.709658
229,9.741916,9.741916
230,9.806432,9.806432
231,9.838690,9.838690
232,9.870948,9.870948
233,9.903206,9.903206
234,9.967722,9.967722
235,9.999980,9.999980
236,10.032238,10.032238
237,10.096754,10.096754
238,10.129012,10.129012
239,10.161270,10.161270
240,10.193528,10.193528
241,10.225786,10.225786
242,10.290302,10.290302
243,10.322560,10.322560
244,10.354818,10.354818
245,10.419334,10.419334
246,10.483850,10.483850
247,10.516108,10.516108
248,10.580624,10.580624
249,10.612882,10.612882
250,10.677398,10.677398
251,10.709656,10.709656
252,10.774172,10.774172
253,10.806430,10.806430
254,10.870946,10.870946
255,10.935462,10.935462
256,10.967720,10.967720
257,11.032236,11.032236
258,11.064494,11.064494
259,11.129010,11.129010
260,11.161268,11.161268
261,11.225784,11.225784
262,11.258042,11.258042
263,11.290300,11.290300
264,11.354816,11.354816
265,11.387074,11.387074
266,11.419332,11.419332
267,11.451590,11.451590
268,11.516106,11.516106
269,11.548364,11.548364
270,11.580622,11.580622
271,11.612880,11.612880
272,11.677396,11.677396
273,11.709654,11.709654
274,11.741912,11.741912
275,11.774170,11.774170
276,11.838686,11.838686
277,11.870944,11.870944
278,11.903202,11.903202
279,11.935460,11.935460
280,11.999976,11.999976
281,12.032234,12.032234
282,12.064492,12.064492
283,12.096750,12.096750
284,12.161266,12.161266
285,12.193524,12.193524
286,12.225782,12.225782
287,12.258040,12.258040
288,12.322556,12.322556
289,12.354814,12.354814
290,12.387072,12.387072
291,12.419330,12.419330
292,12.483846,12.483846
293,12.516104,12.516104
294,12.548362,12.548362
295,12.580620,12.580620
296,12.645136,12.645136
297,12.677394,12.677394
298,12.709652,12.709652
299,12.741910,12.741910
300,12.806426,12.806426
301,12.838684,12.838684
302,12.870942,12.870942
303,12.903200,12.903200
304,12.967716,12.967716
305,12.999974,12.999974
306,13.032232,13.032232
307,13.064490,13.064490
308,13.129006,13.129006
309,13.161264,13.161264
310,13.193522,13.193522
311,13.225780,13.225780
312,13.290296,13.290296
313,13.322554,13.322554
314,13.354812,13.354812
315,13.387070,13.387070
316,13.451586,13.451586
317,13.483844,13.483844
318,13.516102,13.516102
319,13.548360,13.548360
320,13.612876,13.612876
321,13.645134,13.645134
322,13.709650,13.709650
323,13.774166,13.774166
324,13.806424,13.806424
325,13.870940,13.870940
326,13.903198,13.903198
327,13.967714,13.967714
328,13.999972,13.999972
329,14.064488,14.064488
330,14.096746,14.096746
331,14.161262,14.161262
332,14.225778,14.225778
333,14.258036,14.258036
334,14.322552,14.322552
335,14.354810,14.354810
336,14.419326,14.419326
337,14.451584,14.451584
338,14.516100,14.516100
339,14.548358,14.548358
340,14.612874,14.612874
341,14.645132,14.645132
342,14.709648,14.709648
343,14.774164,14.774164
344,14.806422,14.806422
345,14.870938,14.870938
346,14.903196,14.903196
347,14.967712,14.967712
348,14.999970,14.999970
349,15.064486,15.064486
350,15.096744,15.096744
351,15.161260,15.161260
352,15.225776,15.225776
353,15.258034,15.258034
354,15.322550,15.322550
355,15.354808,15.354808
356,15.419324,15.419324
357,15.451582,15.451582
358,15.516098,15.516098
359,15.548356,15.548356
360,15.612872,15.612872
361,15.677388,15.677388
362,15.709646,15.709646
363,15.741904,15.741904
364,15.774162,15.774162
365,15.838678,15.838678
366,15.870936,15.870936
367,15.903194,15.903194
368,15.935452,15.935452
369,15.999968,15.999968
370,16.032226,16.032226
371,16.064484,16.064484
372,16.096742,16.096742
373,16.161258,16.161258
374,16.193516,16.193516
375,16.225774,16.225774
376,16.258032,16.258032
377,16.322548,16.322548
378,16.354806,16.354806
379,16.387064,16.387064
380,16.419322,16.419322
381,16.483838,16.483838
382,16.516096,16.516096
383,16.548354,16.548354
384,16.580612,16.580612
385,16.645128,16.645128
386,16.677386,16.677386
387,16.709644,16.709644
388,16.741902,16.741902
389,16.806418,16.806418
390,16.838676,16.838676
391,16.870934,16.870934
392,16.903192,16.903192
393,16.967708,16.967708
394,16.999966,16.999966
395,17.032224,17.032224
396,17.064482,17.064482
397,17.096740,17.096740
398,17.161256,17.161256
399,17.193514,17.193514
400,17.225772,17.225772
401,17.290288,17.290288
402,17.322546,17.322546
403,17.354804,17.354804
404,17.387062,17.387062
405,17.451578,17.451578
406,17.483836,17.483836
407,17.516094,17.516094
408,17.548352,17.548352
409,17.580610,17.580610
410,17.645126,17.645126
411,17.677384,17.677384
412,17.709642,17.709642
413,17.774158,17.774158
414,17.806416,17.806416
415,17.870932,17.870932
416,17.903190,17.903190
417,17.967706,17.967706
418,17.999964,17.999964
419,18.064480,18.064480
420,18.096738,18.096738
421,18.161254,18.161254
422,18.225770,18.225770
423,18.258028,18.258028
424,18.322544,18.322544
425,18.354802,18.354802
426,18.419318,18.419318
427,18.451576,18.451576
428,18.516092,18.516092
429,18.548350,18.548350
430,18.612866,18.612866
431,18.645124,18.645124
432,18.709640,18.709640
433,18.774156,18.774156
434,18.806414,18.806414
435,18.870930,18.870930
436,18.903188,18.903188
437,18.967704,18.967704
438,18.999962,18.999962
439,19.064478,19.064478
440,19.096736,19.096736
441,19.161252,19.161252
442,19.225768,19.225768
443,19.258026,19.258026
444,19.322542,19.322542
445,19.354800,19.354800
446,19.419316,19.419316
447,19.451574,19.451574
448,19.516090,19.516090
449,19.548348,19.548348
450,19.612864,19.612864
451,19.677380,19.677380
452,19.709638,19.709638
453,19.774154,19.774154
454,19.806412,19.806412
455,19.870928,19.870928
456,19.903186,19.903186
457,19.967702,19.967702
458,19.999960,19.999960
459,20.064476,20.064476
460,20.128992,20.128992
461,20.161250,20.161250
462,20.225766,20.225766
463,20.258024,20.258024
464,20.322540,20.322540
465,20.354798,20.354798
466,20.419314,20.419314
467,20.451572,20.451572
468,20.483830,20.483830
469,20.516088,20.516088
470,20.580604,20.580604
471,20.612862,20.612862
472,20.645120,20.645120
473,20.677378,20.677378
474,20.741894,20.741894
475,20.774152,20.774152
476,20.806410,20.806410
477,20.838668,20.838668
478,20.903184,20.903184
479,20.935442,20.935442
480,20.967700,20.967700
481,20.999958,20.999958
482,21.064474,21.064474
483,21.096732,21.096732
484,21.128990,21.128990
485,21.161248,21.161248
486,21.225764,21.225764
487,21.258022,21.258022
488,21.290280,21.290280
489,21.322538,21.322538
490,21.387054,21.387054
491,21.419312,21.419312
492,21.451570,21.451570
493,21.483828,21.483828
494,21.548344,21.548344
495,21.580602,21.580602
496,21.612860,21.612860
497,21.645118,21.645118
498,21.709634,21.709634
499,21.741892,21.741892
500,21.774150,21.774150
501,21.806408,21.806408
502,21.870924,21.870924
503,21.903182,21.903182
504,21.967698,21.967698
505,22.032214,22.032214
506,22.064472,22.064472
507,22.128988,22.128988
508,22.161246,22.161246
509,22.225762,22.225762
510,22.258020,22.258020
511,22.322536,22.322536
512,22.354794,22.354794
513,22.419310,22.419310
514,22.483826,22.483826
515,22.516084,22.516084
516,22.580600,22.580600
517,22.612858,22.612858
518,22.677374,22.677374
519,22.709632,22.709632
520,22.774148,22.774148
521,22.806406,22.806406
522,22.870922,22.870922
523,22.903180,22.903180
524,22.967696,22.967696
525,23.032212,23.032212
526,23.064470,23.064470
527,23.128986,23.128986
528,23.161244,23.161244
529,23.225760,23.225760
530,23.258018,23.258018
531,23.290276,23.290276
532,23.354792,23.354792
533,23.387050,23.387050
534,23.419308,23.419308
535,23.451566,23.451566
536,23.516082,23.516082
537,23.548340,23.548340
538,23.580598,23.580598
539,23.612856,23.612856
540,23.677372,23.677372
541,23.709630,23.709630
542,23.741888,23.741888
543,23.774146,23.774146
544,23.838662,23.838662
545,23.870920,23.870920
546,23.903178,23.903178
547,23.935436,23.935436
548,23.999952,23.999952
549,24.032210,24.032210
550,24.064468,24.064468
551,24.096726,24.096726
552,24.161242,24.161242
553,24.193500,24.193500
554,24.225758,24.225758
555,24.258016,24.258016
556,24.322532,24.322532
557,24.354790,24.354790
558,24.387048,24.387048
559,24.419306,24.419306
560,24.483822,24.483822
561,24.516080,24.516080
562,24.548338,24.548338
563,24.580596,24.580596
564,24.612854,24.612854
565,24.677370,24.677370
566,24.709628,24.709628
567,24.741886,24.741886
568,24.774144,24.774144
569,24.838660,24.838660
570,24.870918,24.870918
571,24.903176,24.903176
572,24.935434,24.935434
573,24.999950,24.999950
574,25.032208,25.032208
575,25.064466,25.064466
576,25.096724,25.096724
577,25.161240,25.161240
