frame,pkt_time,best_time
1,0.000000,0.000000
2,0.033378,0.033378
3,0.066756,0.066756
4,0.100134,0.100134
5,0.133512,0.133512
6,0.166890,0.166890
7,0.200268,0.200268
8,0.233646,0.233646
9,0.267024,0.267024
10,0.300402,0.300402
11,0.333780,0.333780
12,0.367158,0.367158
13,0.400536,0.400536
14,0.433914,0.433914
15,0.467292,0.467292
16,0.500670,0.500670
17,0.534048,0.534048
18,0.567426,0.567426
19,0.600804,0.600804
20,0.634182,0.634182
21,0.667560,0.667560
22,0.700938,0.700938
23,0.734316,0.734316
24,0.767694,0.767694
25,0.801072,0.801072
26,0.834450,0.834450
27,0.867828,0.867828
28,0.901206,0.901206
29,0.934584,0.934584
30,0.967962,0.967962
31,1.001340,1.001340
32,1.034718,1.034718
33,1.068096,1.068096
34,1.101474,1.101474
35,1.134852,1.134852
36,1.168230,1.168230
37,1.201608,1.201608
38,1.234986,1.234986
39,1.268364,1.268364
40,1.301742,1.301742
41,1.335120,1.335120
42,1.368498,1.368498
43,1.401876,1.401876
44,1.435254,1.435254
45,1.468632,1.468632
46,1.502010,1.502010
47,1.535388,1.535388
48,1.568766,1.568766
49,1.602144,1.602144
50,1.635522,1.635522
51,1.668900,1.668900
52,1.702278,1.702278
53,1.735656,1.735656
54,1.769034,1.769034
55,1.802412,1.802412
56,1.835790,1.835790
57,1.869168,1.869168
58,1.902546,1.902546
59,1.935924,1.935924
60,1.969302,1.969302
61,2.002680,2.002680
62,2.036058,2.036058
63,2.069436,2.069436
64,2.102814,2.102814
65,2.136192,2.136192
66,2.169570,2.169570
67,2.202948,2.202948
68,2.236326,2.236326
69,2.269704,2.269704
70,2.303082,2.303082
71,2.336460,2.336460
72,2.369838,2.369838
73,2.403216,2.403216
74,2.436594,2.436594
75,2.469972,2.469972
76,2.503350,2.503350
77,2.536728,2.536728
78,2.570106,2.570106
79,2.603484,2.603484
80,2.636862,2.636862
81,2.670240,2.670240
82,2.703618,2.703618
83,2.736996,2.736996
84,2.770374,2.770374
85,2.803752,2.803752
86,2.837130,2.837130
87,2.870508,2.870508
88,2.903886,2.903886
89,2.937264,2.937264
90,2.970642,2.970642
91,3.004020,3.004020
92,3.037398,3.037398
93,3.070776,3.070776
94,3.104154,3.104154
95,3.137532,3.137532
96,3.170910,3.170910
97,3.204288,3.204288
98,3.237666,3.237666
99,3.271044,3.271044
100,3.304422,3.304422
101,3.337800,3.337800
102,3.371178,3.371178
103,3.404556,3.404556
104,3.437934,3.437934
105,3.471312,3.471312
106,3.504690,3.504690
107,3.538068,3.538068
108,3.571446,3.571446
109,3.604824,3.604824
110,3.638202,3.638202
111,3.671580,3.671580
112,3.704958,3.704958
113,3.738336,3.738336
114,3.771714,3.771714
115,3.805092,3.805092
116,3.838470,3.838470
117,3.871848,3.871848
118,3.905226,3.905226
119,3.938604,3.938604
120,3.971982,3.971982
121,4.005360,4.005360
122,4.038738,4.038738
123,4.072116,4.072116
124,4.105494,4.105494
125,4.138872,4.138872
126,4.172250,4.172250
127,4.205628,4.205628
128,4.239006,4.239006
129,4.272384,4.272384
130,4.305762,4.305762
131,4.339140,4.339140
132,4.372518,4.372518
133,4.405896,4.405896
134,4.439274,4.439274
135,4.472652,4.472652
136,4.506030,4.506030
137,4.539408,4.539408
138,4.572786,4.572786
139,4.606164,4.606164
140,4.639542,4.639542
141,4.672920,4.672920
142,4.706298,4.706298
143,4.739676,4.739676
144,4.773054,4.773054
145,4.806432,4.806432
146,4.839810,4.839810
147,4.873188,4.873188
148,4.906566,4.906566
149,4.939944,4.939944
150,4.973322,4.973322
151,5.006700,5.006700
152,5.040078,5.040078
153,5.073456,5.073456
154,5.106834,5.106834
155,5.140212,5.140212
156,5.173590,5.173590
157,5.206968,5.206968
158,5.240346,5.240346
159,5.273724,5.273724
160,5.307102,5.307102
161,5.340480,5.340480
162,5.373858,5.373858
163,5.407236,5.407236
164,5.440614,5.440614
165,5.473992,5.473992
166,5.507370,5.507370
167,5.540748,5.540748
168,5.574126,5.574126
169,5.607504,5.607504
170,5.640882,5.640882
171,5.674260,5.674260
172,5.707638,5.707638
173,5.741016,5.741016
174,5.774394,5.774394
175,5.807772,5.807772
176,5.841150,5.841150
177,5.874528,5.874528
178,5.907906,5.907906
179,5.941284,5.941284
180,5.974662,5.974662
181,6.008040,6.008040
182,6.041418,6.041418
183,6.074796,6.074796
184,6.108174,6.108174
185,6.141552,6.141552
186,6.174930,6.174930
187,6.208308,6.208308
188,6.241686,6.241686
189,6.275064,6.275064
190,6.308442,6.308442
191,6.341820,6.341820
192,6.375198,6.375198
193,6.408576,6.408576
194,6.441954,6.441954
195,6.475332,6.475332
196,6.508710,6.508710
197,6.542088,6.542088
198,6.575466,6.575466
199,6.608844,6.608844
200,6.642222,6.642222
201,6.675600,6.675600
202,6.708978,6.708978
203,6.742356,6.742356
204,6.775734,6.775734
205,6.809112,6.809112
206,6.842490,6.842490
207,6.875868,6.875868
208,6.909246,6.909246
209,6.942624,6.942624
210,6.976002,6.976002
211,7.009380,7.009380
212,7.042758,7.042758
213,7.076136,7.076136
214,7.109514,7.109514
215,7.142892,7.142892
216,7.176270,7.176270
217,7.209648,7.209648
218,7.243026,7.243026
219,7.276404,7.276404
220,7.309782,7.309782
221,7.343160,7.343160
222,7.376538,7.376538
223,7.409916,7.409916
224,7.443294,7.443294
225,7.476672,7.476672
226,7.510050,7.510050
227,7.543428,7.543428
228,7.576806,7.576806
229,7.610184,7.610184
230,7.643562,7.643562
231,7.676940,7.676940
232,7.710318,7.710318
233,7.743696,7.743696
234,7.777074,7.777074
235,7.810452,7.810452
236,7.843830,7.843830
237,7.877208,7.877208
238,7.910586,7.910586
239,7.943964,7.943964
240,7.977342,7.977342
241,8.010720,8.010720
242,8.044098,8.044098
243,8.077476,8.077476
244,8.110854,8.110854
245,8.144232,8.144232
246,8.177610,8.177610
247,8.210988,8.210988
