name,time
brush,00:02.9
brush,00:05.7
brush,00:24.9
brush,00:35.0
brush,01:09.4
brush,01:12.7
brush,01:15.3
brush,01:21.9
brush,01:48.8
tima,01:51.0
tima,01:53.0
tima,02:01.7
tima,02:06.6
tima,02:15.1
tima,02:17.5
tima,02:37.9
tima,02:40.3
brush (brushing),03:08.6
brush,03:16.9
brush (brushing),03:28.4
tima,03:29.0
brush (brushing),03:31.0
tima,03:31.6
tima,03:33.1
brush,03:38.9
tima,03:39.7
brush (brushing),03:54.4
tima,04:01.9
tima,04:49.1
tima,04:51.0
brush,04:52.6
brush,04:57.1
brush,05:02.3
tima,05:08.7
brush,05:38.2
tima,05:48.5
tima,05:52.8
brush,06:25.5
tima,06:26.2
brush,06:42.8
tima,06:43.3
brush,06:48.9
tima,06:49.5
brush,07:02.9
tima,07:03.5
brush,07:14.6
brush,07:18.8
brush,07:44.7
brush,09:28.2
tima,09:32.7
tima,09:41.2
tima,09:45.0
brush,10:50.7
brush,10:52.1
tima,13:58.1
tima,14:00.6
brush,14:11.6
brush,14:13.6
tima,14:15.6
tima,14:17.6
tima,14:21.5
brush,14:27.2
brush,14:30.5
brush,14:33.7
