name,time
zem,00:00:00.6
zem,00:00:03.4
ball,00:00:07.9
ball,00:00:10.5
ball,00:00:15.0
car,00:00:59.6
zem,00:01:00.4
manu,00:01:55.4
ball,00:02:01.4
zem,00:02:06.7
tima,00:02:21.3
tima,00:02:54.2
tima,00:02:55.8
brush,00:03:04.5
manu,00:03:37.1
manu,00:03:46.7
car,00:05:06.1
zem,00:06:46.9
zem,00:06:49.2
zem,00:06:50.6
tima,00:06:53.0
manu,00:07:53.9
manu,00:07:55.5
zem,00:08:47.1
zem,00:08:50.3
zem,00:08:52.3
zem,00:08:53.3
manu,00:09:32.6
manu,00:09:32.8
zem,00:09:43.8
zem,00:09:45.9
zem,00:11:00.4
zem,00:11:01.5
brush,00:11:17.8
brush,00:11:20.3
