name ,time
ball ,00:01.2
ball  ,00:03.9
ball  ,00:07.9
zem  ,00:11.7
ball  ,00:13.0
ball  ,00:17.1
ball  ,00:18.9
ball  ,00:19.8
ball  ,00:22.4
ball  ,00:25.7
ball  ,00:29.2
ball  ,00:32.0
ball  ,00:35.0
zem ,00:40.4
zem  ,00:41.6
manu  ,00:55.0
zem  ,00:58.5
ball   ,01:01.2
ball  ,01:28.0
ball  ,01:37.9
ball  ,01:40.0
ball  ,02:00.5
car  ,02:01.1
car  ,02:21.0
ball  ,02:22.8
car  ,02:37.5
car  ,02:38.8
car  ,02:41.7
ball  ,02:42.4
ball  ,02:45.4
car  ,02:53.1
car  ,03:03.6
car  ,03:15.3
car  ,03:17.8
car  ,03:19.3
car  ,03:21.5
ball  ,03:34.2
ball  ,03:37.0
car  ,03:37.6
ball  ,03:39.7
tima  ,04:20.4
car  ,04:33.0
tima  ,04:35.5
car  ,04:36.2
car  ,04:56.8
car  ,05:10.4
car  ,05:19.2
tima  ,05:31.6
car  ,06:49.3
tima  ,07:03.3
tima  ,07:05.1
manu  ,07:18.5
zem ,08:13.9
ball  ,08:31.9
ball  ,08:30.8
ball  ,08:32.6
ball  ,08:34.1
ball  ,08:36.4
ball  ,08:43.2
ball  ,08:43.7
ball  ,08:44.2
ball  ,08:45.0
ball  ,08:45.5
brush  ,09:06.0
brush  ,09:13.8
brush  ,09:14.1
brush  ,09:14.4
brush  ,09:14.7
brush  ,09:14.9
brush  ,09:15.8
brush  ,09:16.1
brush  ,09:16.3
brush  ,09:21.1
brush  ,10:02.9
brush  ,10:20.1
car  ,10:24.3
zem  ,10:26.2
zem  ,10:31.8
manu  ,10:52.8
tima  ,10:54.8
tima  ,10:56.4
tima  ,11:48.0
tima  ,11:49.9
tima  ,11:55.8
tima  ,11:57.3
tima  ,11:59.2
ball  ,12:02.6
ball  ,12:03.5
ball  ,12:12.4
brush  ,12:22.7
brush  ,12:23.1
brush  ,12:23.3
brush  ,12:23.7
brush  ,12:24.0
brush  ,12:24.2
brush  ,12:24.5
brush  ,12:25.4
brush  ,12:25.8
brush  ,12:26.1
brush  ,12:26.4
brush  ,12:26.6
car  ,12:38.8
zem  ,12:40.6
zem  ,12:49.9
car  ,12:53.0
car  ,12:54.4
brush  ,12:56.7
ball  ,13:41.0
tima  ,14:17.6
tima  ,14:48.0
car  ,14:54.1
car  ,15:02.3
car  ,15:04.3
car  ,15:06.6
car  ,15:16.4
ball  ,15:20.8
manu  ,15:23.1
manu  ,15:24.1
manu  ,15:25.0
car  ,15:27.2
