name ,time
zem  ,00:01.5
zem  ,00:03.7
ball  ,00:05.0
ball  ,00:05.7
ball  ,00:07.2
ball  ,00:08.5
ball  ,00:13.4
ball  ,00:16.2
zem  ,00:20.2
zem ,00:21.6
manu  ,00:25.0
manu  ,00:26.4
manu ,00:30.1
car  ,00:42.9
car  ,00:57.1
car  ,00:59.9
car  ,01:06.1
ball  ,01:30.1
ball  ,01:40.7
brush  ,01:50.0
brush  ,01:51.1
brush  ,01:53.8
brush ,01:55.4
brush  ,02:00.0
manu  ,02:26.1
manu  ,02:28.3
manu  ,02:29.7
car  ,02:51.3
brush  ,03:29.3
brush  ,03:33.6
brush  ,03:35.3
brush  ,03:36.3
tima  ,03:43.5
tima  ,03:47.2
tima  ,03:58.0
tima  ,03:58.6
tima  ,03:59.7
tima  ,04:01.4
ball  ,04:10.2
ball  ,04:12.6
ball  ,04:38.3
ball  ,04:40.4
ball  ,04:51.5
tima  ,05:29.8
tima  ,05:32.2
brush  ,06:24.6
brush  ,06:25.5
tima  ,07:32.6
zem  ,07:37.0
zem ,07:39.8
zem  ,07:43.2
zem  ,07:46.2
ball  ,07:47.9
ball  ,07:49.7
car  ,08:11.0
brush  ,08:12.6
zem  ,08:38.3
car  ,08:45.9
zem  ,08:58.7
ball  ,09:28.7
zem  ,09:29.9
ball  ,10:03.1
ball  ,10:04.2
ball  ,10:04.9
ball  ,10:05.9
ball  ,10:07.6
ball  ,10:20.6
ball  ,10:22.9
brush  ,10:27.2
tima  ,10:34.3
tima  ,10:53.3
tima  ,10:54.8
tima  ,11:08.9
brush  ,11:27.2
ball  ,11:30.7
ball ,11:32.3
ball  ,11:36.7
ball  ,12:00.9
ball  ,12:05.2
ball  ,12:06.2
