name,time
ball,00:02.5
ball,00:33.1
ball,00:37.8
brush,00:47.2
ball,00:49.5
ball,00:52.1
manu,01:10.3
manu,01:38.0
tima,01:56.0
tima,02:11.7
tima,02:12.6
brush,02:33.6
tima,02:34.5
brush,02:39.9
brush,02:40.6
tima,02:41.3
zem,03:04.3
zem,03:11.8
zem,03:17.3
car,03:53.8
car,04:16.1
car,04:22.9
car,04:26.0
car,04:28.2
car,04:42.2
car,04:47.5
car,04:49.7
car,04:51.5
car,04:58.6
tima,06:05.2
tima,06:06.7
zem,06:09.1
manu,06:14.2
car,06:23.3
car,06:25.1
car,06:26.5
car,06:31.6
car,06:34.8
car,06:37.1
car,06:38.5
car,06:39.5
car,06:46.0
car,06:46.7
ball,07:00.4
ball,07:03.4
ball,07:04.2
ball,08:01.0
ball,08:15.5
ball,08:17.7
car,08:26.9
car,08:27.8
