code,start,stop,type,orient
0,11060,41999,si,1
1,42000,45899,p,3
2,45900,50467,si,1
3,50468,108731,si,2
4,108732,117367,si,1
5,117368,120733,si,2
6,120734,128009,NaN,NaN
7,128010,132963,si,2
8,132964,135675,si,1
9,135676,156334,st,2
10,156335,158643,si,2
11,158644,162077,p,3
12,162078,165069,si,3
13,165070,171681,si,2
14,171682,173090,p,3
15,173091,214387,si,2
16,214388,231675,si,0
17,231676,239665,p,1
18,239666,248947,si,1
19,248948,255746,p,2
20,255747,293154,si,2
21,293155,298751,si,1
22,298752,300321,si,2
23,300322,328813,si,3
24,328814,332315,p,3
25,332316,364341,si,2
26,364342,378997,st,1
27,378998,422891,si,2
28,422892,473381,si,3
29,473382,495724,si,1
30,495725,502349,st,1
31,502350,561136,si,3
32,561137,582249,st,2
33,582250,585445,p,3
34,585446,591089,si,2
35,591090,592687,p,2
36,592688,599657,p,3
37,599658,613359,si,1
38,613360,640831,si,3
39,640832,643108,p,3
40,643892,647644,si,3
41,647645,653106,si,1
42,653107,670751,si,2
43,670752,686289,p,0
44,686290,693157,p,1
45,693158,729435,si,3
46,729436,732835,p,2
47,732836,736949,si,1
48,736950,738628,p,1
49,738629,739720,si,1
50,739721,744633,p,2
51,744634,767926,si,3
52,767927,784236,si,2
53,784237,791213,p,1
54,791214,821707,si,2
55,821708,915150,si,3
56,915151,920311,p,2
57,920312,923167,si,3
58,923168,927485,p,2
59,927486,932818,si,2
60,932819,935441,p,2
61,935442,944259,si,3
62,944260,963696,si,2
63,963696,965225,st,3
64,965226,981180,si,3
65,981181,984425,si,1
66,984426,1005073,si,2
67,1005074,1010819,si,1
68,1010820,1028201,si,2
69,1028202,1046889,st,1
70,1046890,1057759,si,2
