code,start,stop,full_code,type,orient
posture,2013,14347,"st,1",st,1
posture,14348,25784,"st,0",st,0
posture,25784,31643,"st,1",st,1
not-in-frame,31643,75875,NIF,NIF,NIF
posture,75876,93961,"st,1",st,1
posture,94848,95000,"st,0",st,0
not-in-frame,95000,99869,NIF,NIF,NIF
posture,99869,100918,"st,0",st,0
posture,100918,131631,"st,1",st,1
not-in-frame,131632,144185,NIF,NIF,NIF
posture,144185,149856,"p,1",p,1
posture,149856,151151,"st,1",st,1
not-in-frame,151152,187975,NIF,NIF,NIF
posture,187975,201067,"st,1",st,1
not-in-frame,201068,207574,NIF,NIF,NIF
posture,207575,209142,"st,0",st,0
posture,209143,220719,"st,1",st,1
posture,220720,225804,"si,1",si,1
posture,225804,233233,"st,0",st,0
not-in-frame,233234,244543,NIF,NIF,NIF
posture,244544,245745,"st,0",st,0
posture,245746,253953,"st,1",st,1
posture,253954,260459,"st,0",st,0
posture,260460,271771,"st,1",st,1
not-in-frame,271772,281381,NIF,NIF,NIF
posture,281382,283248,"st,1",st,1
posture,283249,296663,"st,0",st,0
posture,296664,302402,"st,1",st,1
posture,302403,326392,"st,0",st,0
not-in-frame,326393,335200,NIF,NIF,NIF
posture,335201,338371,"st,0",st,0
posture,338372,355221,"st,1",st,1
posture,355222,364630,"st,0",st,0
posture,364631,420453,"st,1",st,1
posture,420454,427794,"st,0",st,0
posture,427795,436836,"st,1",st,1
posture,436837,455974,"st,0",st,0
posture,455974,467767,"st,1",st,1
posture,467768,496996,"st,0",st,0
posture,496997,564797,"st,1",st,1
posture,564798,574907,"st,0",st,0
posture,574908,580846,"st,1",st,1
posture,580847,588487,"st,0",st,0
not-in-frame,588488,606439,NIF,NIF,NIF
posture,606440,650516,"st,0",st,0
posture,650517,659692,"st,1",st,1
not-in-frame,659693,672538,NIF,NIF,NIF
posture,672539,683749,"st,0",st,0
posture,683750,692324,"si,0",si,0
posture,692325,708607,"st,0",st,0
not-in-frame,708608,1022054,NIF,NIF,NIF
posture,1022055,1022988,"st,1",st,1
posture,1022989,1030496,"si,0",si,0
not-in-frame,1030497,1055854,NIF,NIF,NIF
posture,1055855,1061126,"st,0",st,0
posture,1061127,1086333,"si,0",si,0
posture,1086334,1090522,"st,0",st,0
not-in-frame,1090523,1115948,NIF,NIF,NIF
posture,1115949,1118950,"st,1",st,1
not-in-frame,1118951,1121053,NIF,NIF,NIF
posture,1121054,1139471,"st,1",st,1
not-in-frame,1139472,1161527,NIF,NIF,NIF
posture,1161528,1168066,"st,1",st,1
not-in-frame,1168067,1176742,NIF,NIF,NIF
posture,1176743,1194526,"st,1",st,1
posture,1194527,1195494,"st,0",st,0
not-in-frame,1195495,1217607,NIF,NIF,NIF
posture,1217608,1222955,"st,1",st,1
posture,1222956,1223689,"st,0",st,0
not-in-frame,1223690,1237402,NIF,NIF,NIF
posture,1237403,1245510,"st,1",st,1
not-in-frame,1245511,1263528,NIF,NIF,NIF
posture,1263529,1268800,"st,1",st,1
posture,1268801,1318216,"st,0",st,0
posture,1318217,1322854,"st,1",st,1
posture,1322855,1325157,"st,0",st,0
posture,1325158,1336768,"st,1",st,1
posture,1336769,1367532,"st,0",st,0
not-in-frame,1367533,1377976,NIF,NIF,NIF
posture,1377977,1390389,"st,0",st,0
not-in-frame,1390390,1420952,NIF,NIF,NIF
posture,1420953,1425257,"st,1",st,1
not-in-frame,1425257,1440871,NIF,NIF,NIF
