code,start,stop,type,orient
posture,11016,41752,si,1
posture,41752,46716,p,3
posture,46716,118723,si,1
posture,118723,133753,si,3
posture,133753,136200,si,1
posture,136201,157442,c,NaN
posture,157442,164417,p,3
posture,164417,215412,si,1
posture,215412,218961,p,3
posture,218961,232971,si,1
posture,232971,240440,p,1
posture,240440,246054,si,1
posture,246054,249556,p,1
not-in-frame,249556,255163,c,NaN
posture,255163,308388,si,1
posture,308388,311793,p,3
posture,311793,420233,si,1
posture,420233,470598,si,3
posture,470598,496128,si,1
posture,496129,502535,st,1
posture,502536,579727,si,3
posture,579727,587053,p,3
posture,587054,591090,si,1
posture,591091,599799,p,1
posture,599800,612878,si,1
posture,612879,640806,si,3
posture,640807,641108,p,3
posture,641108,670703,si,1
posture,670704,687375,p,0
posture,687376,694527,p,1
posture,694528,729762,si,3
posture,729763,731436,p,1
posture,731436,739972,si,1
posture,739973,746293,pi,1
posture,746293,782882,si,3
posture,782883,791557,pi,1
posture,791558,944610,si,3
posture,944611,955858,si,1
posture,955859,980546,si,3
posture,980547,984516,si,1
posture,984517,1006238,si,3
posture,1006239,1010909,NaN,NaN
posture,1010910,1026959,si,3
posture,1026960,1031463,NaN,NaN
posture,1031464,1050282,st,1
posture,1050283,1068001,si,3
