code,start,stop,type,orient
posture,72372,184220,si,1
posture,184221,232230,c,NaN
posture,232231,328437,si,3
posture,328438,441223,si ,0
posture,441224,457376,si,2
posture,457377,492651,c,NaN
posture,492652,649628,si,3
posture,649629,762444,c,NaN
posture,762445,818923,si ,3
posture,818924,894337,si,2
posture,894338,908657,c,NaN
posture,908658,923659,si,1
posture,923660,991333,si ,2
not-in-frame,NaN,NaN,NIF,NIF
