name,time
manu,00:03.9
manu,00:09.2
manu,00:26.0
car,01:13.8
car,01:19.7
brush,01:48.2
brush,01:49.9
tima,01:55.1
brush,02:12.1
brush,02:38.3
brush,02:43.2
brush,02:48.6
brush,02:51.8
ball,03:16.1
ball,03:17.1
ball,03:31.1
ball,03:55.1
ball,04:00.6
brush,04:15.3
brush,04:37.9
brush,04:39.5
brush,04:45.0
brush,04:47.0
brush,04:53.4
ball,05:03.9
ball,06:01.1
car,07:34.3
tima,08:14.0
tima,08:15.9
tima,08:21.3
ball,08:30.4
car,09:04.5
brush,09:34.4
brush,09:41.3
tima,09:44.3
manu,09:56.2
manu,10:03.2
car,10:04.5
manu,10:30.7
car,10:34.6
car,10:46.4
car,10:48.2
manu,12:33.1
car,12:51.5
car,12:53.4
ball,13:02.8
ball,13:04.4
ball,13:07.0
ball,13:11.1
ball,13:13.4
ball,14:14.5
zem,14:15.1
ball,14:18.8
zem,14:19.6
ball,14:37.9
