name,time 
ball,00:02.2
zem,00:15.4
zem,00:16.4
zem,00:21.0
zem,00:23.4
ball,00:27.0
ball,00:28.3
ball,00:35.4
zem,00:36.0
ball,00:40.4
zem,00:40.8
zem,00:41.4
zem,00:43.8
ball,00:49.1
ball,00:50.0
ball,00:53.6
ball,00:57.0
ball,01:00.3
ball,01:06.0
zem,01:12.0
zem,01:16.9
zem,01:19.2
ball,01:26.7
ball,01:27.3
zem,01:28.4
zem,01:44.2
ball,01:45.7
zem,01:51.2
zem,02:01.7
car,02:17.3
car,02:19.8
car,02:21.5
manu,02:36.3
manu,02:38.4
manu,02:44.7
manu,03:02.5
car,03:29.1
manu,03:31.0
manu,03:35.3
car,03:45.7
car,03:49.8
car,03:54.9
manu,04:18.6
manu,04:21.6
car,04:40.7
car,04:42.4
manu,04:49.1
car,04:49.9
brush,04:59.9
brush,05:01.4
brush,05:04.4
tima,05:05.6
tima,05:06.8
tima,05:10.0
tima,05:18.8
brush,05:38.0
brush,05:39.3
tima,05:57.6
tima,05:58.9
brush,06:08.8
brush,06:11.3
brush,06:21.9
brush,06:34.8
brush,06:44.8
tima,06:56.1
tima,06:57.4
tima,07:04.7
brush,07:14.2
tima,07:20.9
tima,07:21.9
brush,07:23.4
brush,07:26.0
tima,07:52.7
tima,07:53.3
tima,08:24.1
brush,08:25.7
tima,08:34.4
brush,08:38.4
tima,08:53.0
car,09:03.0
zem,09:03.3
car,09:05.2
zem,09:05.5
brush,09:07.0
brush,09:08.6
tima,09:10.6
tima,09:12.0
brush,09:26.5
tima,09:36.2
brush,09:51.3
tima,10:50.2
zem,10:50.6
brush,10:51.5
ball,10:53.7
zem,10:54.0
ball,10:55.4
ball,11:03.7
zem,11:20.0
zem,11:23.0
ball,11:42.0
ball,12:07.0
ball,12:10.0
zem,12:19.6
ball,12:25.0
ball,12:28.0
zem,12:48.2
zem,12:53.1
ball,12:57.2
car,13:03.9
manu,13:04.3
car,13:09.5
manu,13:10.3
