name,time
zem,00:19.0
ball,00:28.0
ball,00:44.0
zem,00:45.0
ball,00:47.0
ball,00:49.0
zem,00:55.0
ball,01:07.0
zem,01:08.0
ball,01:35.0
zem,01:43.0
zem,01:50.0
zem,01:51.0
ball,02:06.0
ball,02:09.0
ball,02:11.0
ball,02:30.0
ball,02:41.0
zem,02:44.0
ball,02:49.0
ball,03:00.0
zem,03:08.0
manu,03:17.0
manu,03:18.0
manu,03:19.0
car,03:20.0
manu,03:22.0
manu,03:24.0
manu,03:35.0
manu,03:46.0
manu,03:47.0
manu,03:57.0
manu,04:00.0
manu,04:04.0
manu,04:11.0
car,04:22.0
manu,04:26.0
car,04:33.0
car,04:44.0
manu,04:46.0
manu,04:49.0
manu,04:50.0
car,04:52.0
manu,05:08.0
car,05:09.0
car,05:24.0
manu,05:30.0
manu,06:09.0
car,06:09.0
car,06:40.0
manu,06:41.0
car,06:49.0
car,06:52.0
car,07:22.0
manu,07:32.0
car,07:33.0
car,07:39.0
car,07:40.0
car,07:40.0
manu,07:44.0
manu,07:56.0
manu,08:00.0
manu,08:24.0
manu,08:41.0
manu,09:01.0
car,09:02.0
manu,09:04.0
car,09:05.0
manu,09:16.0
car,09:31.0
manu,09:46.0
manu,09:50.0
manu,09:52.0
manu,09:54.0
car,09:59.0
car,10:21.0
manu,10:22.0
manu,10:42.0
manu,10:44.0
manu,10:46.0
manu,10:46.0
manu,10:46.0
car,11:19.0
manu,11:19.0
manu,11:23.0
manu,11:26.0
manu,11:34.0
manu,11:42.0
manu,11:51.0
manu,13:26.0
car,13:46.0
car,13:49.0
manu,14:14.0
manu,14:18.0
tima,14:42.0
brush,14:43.0
brush,14:44.0
