name,time
ball,00:00.6
ball,00:01.8
ball,00:03.8
ball,00:11.6
toothbrush,00:17.0
toothbrush,00:19.2
zem,00:39.7
zem,00:42.1
zem,01:02.2
brush,01:32.1
tima,01:38.6
ball,01:42.5
brush,03:18.5
brush,03:23.4
ball,03:38.3
car,03:40.7
brush,03:44.6
brush,03:47.3
ball,03:51.9
manu,04:39.1,
brush,06:54.2
brush,07:41.8
car **,07:50.3
car,08:08.2
ball,08:40.3
brush,08:44.0
car,08:50.3
brush,08:58.1
car,09:02.3
car,09:03.7
brush,09:09.6
brush,09:38.9
brush,10:47.9
brush,10:58.0
ball,11:51.0
ball,11:52.4
ball,11:54.4
ball,11:58.5
ball,11:59.7
ball,12:29.2
ball,12:32.9
brush,12:35.5
ball,12:41.9
ball,12:44.7
ball,12:53.3
ball,12:56.2
car,13:38.0
ball,14:17.9
ball,14:19.6
brush,14:33.2
brush,14:34.8
brush,14:36.9
brush,14:40.2
