name,time
zem,00:01.5
zem,00:03.6
ball,00:04.9
ball,00:05.7
ball,00:07.3
ball,00:08.6
ball,00:13.4
ball,00:16.0
zem,00:20.2
zem,00:21.7
zem,00:22.5
manu,00:25.0
manu,00:26.3
manu,00:29.9
car,00:43.0
car,00:57.0
car,01:00.0
car,01:06.2
ball,01:30.1
ball,01:40.7
brush,01:49.9
brush,01:51.1
brush,01:53.8
brush,01:55.5
brush,02:00.1
manu,02:26.1
manu,02:28.3
manu,02:29.8
car,02:51.4
brush,03:29.3
brush,03:33.5
brush,03:35.3
brush,03:36.4
tima,03:43.5
tima (camera-off),03:47.0
tima,03:57.9
tima,03:59.0
tima,03:59.7
tima,04:01.4
ball,04:10.2
ball,04:12.5
ball,04:39.0
ball,04:40.0
ball,04:47.0
ball,04:51.5
ball,05:04.7
tima,05:30.0
tima,05:32.2
ball,06:03.0
ball,06:09.6
brush,06:24.6
brush,06:25.6
brush,06:31.6
tima,07:32.6
zem,07:43.2
zem,07:46.3
ball,07:47.9
ball,07:49.7
car,08:11.1
brush,08:12.6
zem,08:36.7
zem,08:38.1
car,08:45.8
zem,08:58.5
ball,09:28.6
zem,09:29.8
ball,10:03.1
ball,10:04.1
ball,10:05.8
ball,10:07.6
ball,10:20.6
ball,10:22.9
brush,10:27.1
tima,10:34.3
tima,10:53.3
tima,10:54.8
brush,11:27.1
ball,12:05.0
ball,12:06.3
