name,time
zem,00:12.8
zem,00:14.9
zem,00:31.3
zem,00:42.3
ball,00:56.2
car,00:58.1
car,01:01.5
manu,01:11.6
manu,01:14.4
tima,01:49.9
car,02:03.1
car,02:13.6
car,02:14.7
tima,03:03.8
tima,03:06.0
tima,03:23.7
tima,03:30.3
tima,03:32.2
brush,03:41.6
brush,03:46.9
tima,03:47.9
tima,04:22.0
brush,04:29.9
brush,04:49.3
brush,04:51.3
zem,05:32.2
zem,05:45.8
brush,05:57.8
brush,05:59.1
zem,06:05.0
zem,06:06.6
brush,06:12.8
ball,06:53.1
ball,06:56.9
ball,07:03.6
ball,07:09.8
ball,07:25.2
manu,07:36.4
manu,07:37.7
manu,07:52.4
manu,08:40.1
ball,09:42.5
ball,10:13.2
tima,10:13.9
tima,10:16.4
ball,10:17.7
ball,10:28.0
tima,10:28.7
ball,10:59.3
ball,11:04.8
ball,11:15.5
tima,11:30.2
