name,time 
gimo,00:00:37.3
brush,00:01:10.4 
zem,00:01:39.7 
zem,00:01:43.5
brush,00:01:53.6
zem,00:03:12.7
zem,00:03:14.8
ball,00:03:40.9
ball,00:03:43.8
ball,00:03:47.3
ball,00:04:03.3
ball,00:04:11.3
ball,00:04:13.9
brush,00:04:39.6
brush,00:04:42.5
brush,00:05:16.4
brush,00:05:19.3
cat,00:05:24.8
ball,00:05:35.3
ball,00:05:38.9
ball,00:10:34.1
ball,00:10:37.3
ball,00:10:40.7
zem,00:11:53.3
zem,00:11:55.8
ball ,00:12:07.1
ball ,00:12:08.9
ball ,00:12:11.6
ball ,00:12:14.1
ball ,00:12:15.3
ball ,00:12:18.7
ball ,00:12:20.2
ball ,00:12:21.6
ball ,00:12:28.9
brush,00:13:10.0
gimo,00:13:24.3
gimo,00:13:25.3
gimo,00:13:25.8
gimo,00:13:29.1
gimo,00:14:09.2
ball,00:14:21.9
ball,00:14:23.3
ball,00:14:26.0 
ball,00:14:27.5
ball,00:14:28.2
