name,time
ball,00:00:29.4
zem,00:00:44.0
zem,00:00:46.4
zem,00:01:03.3
zem,00:01:05.8
ball,00:02:06.9
tima,00:02:45.7
tima,00:02:52.1
tima,00:03:10.2
manu,00:03:20.0
manu,00:03:26.4
zem,00:04:44.4
zem,00:04:49.8
zem,00:05:02.3
brush,00:05:23.3
ball,00:05:38.6
ball,00:05:43.7
tima,00:05:50.8
ball,00:05:55.8
tima,00:06:02.1
ball,00:06:19.6
ball,00:06:25.7
ball,00:06:26.7
zem,00:06:35.7
zem,00:06:55.0
zem,00:07:00.6
zem,00:07:25.7
manu,00:07:32.0
manu,00:07:35.8
manu,00:07:40.2
brush,00:07:46.8
ball,00:07:47.9
ball,00:07:49.3
brush,00:07:49.8
brush,00:08:25.8
brush,00:08:58.5
tima,00:09:10.9
tima,00:09:14.1
manu,00:09:17.1
brush,00:09:22.1
manu,00:09:38.8
manu,00:10:21.1
manu,00:10:29.9
zem,00:10:34.2
zem,00:10:36.6
zem,00:10:39.2
zem,00:10:44.0
zem,00:10:47.9
zem,00:10:50.0
zem,00:11:01.7
zem,00:11:04.7
car,00:13:12.5
car,00:13:18.5
car,00:13:28.9
tima,00:13:46.6
tima,00:14:06.9
tima,00:14:15.7
ball,00:14:43.9
ball,00:14:53.4
ball,00:15:03.1
ball,00:15:14.1
