name,time
ball,00:00.0
ball,00:04.0
zem,00:10.0
zem,00:12.0
zem,00:13.0
zem,00:15.0
ball,00:19.0
zem,00:26.0
ball,00:33.0
zem,00:40.0
zem,00:53.0
car,01:08.0
manu,01:11.0
manu,01:13.0
manu,01:17.0
manu,01:30.0
car,01:34.0
car,01:34.0
tima,02:00.0
tima,02:11.0
tima,02:12.0
tima,02:14.0
tima,02:14.0
tima,02:14.0
tima,02:19.0
tima,02:20.0
tima,02:21.0
tima,02:21.0
tima,02:30.0
tima,02:37.0
car,02:39.0
tima,02:46.0
tima,03:16.0
tima,03:17.0
tima,03:17.0
tima,03:18.0
tima,03:18.0
tima,03:48.0
tima,04:26.0
tima,04:28.0
tima,04:29.0
tima,05:22.0
tima,05:36.0
tima,05:37.0
tima,05:41.0
brush,05:51.0
ball,06:35.0
ball,06:37.0
ball,06:40.0
zem,07:25.0
zem,07:26.0
zem,07:28.0
ball,07:33.0
ball,07:33.0
zem,07:44.0
ball,07:56.0
ball,07:57.0
ball,08:15.0
ball,08:39.0
ball,09:35.0
ball,09:43.0
brush,09:47.0
tima,10:57.0
ball,12:52.0
ball,13:18.0
ball,13:18.0
ball,13:22.0
ball,13:34.0
ball,13:36.0
ball,13:48.0
zem,13:53.0
