name,time
ball,00:00:06.2
ball,00:00:08.0
ball,00:00:09.8
ball,00:00:11.2
tima,00:00:27.8
tima,00:00:30.3
ball,00:00:51.1
ball,00:00:54.0
ball,00:01:02.8
ball,00:01:04.5
ball,00:01:17.0
ball,00:01:20.9
ball,00:01:22.9
ball,00:01:29.5
car,00:01:36.8
car,00:01:44.6
manu,00:02:27.2
manu,00:02:29.5
car,00:02:33.3
zem,00:02:51.6
car,00:02:57.2
car,00:03:19.6
car,00:03:44.7
car,00:03:47.5
brush,00:04:26.4
manu,00:05:05.3
car,00:05:16.3
car,00:05:17.3
ball,00:05:44.9
brush,00:05:48.2
brush,00:05:48.5
brush,00:05:48.9
zem,00:05:51.1
car,00:07:28.4
car,00:07:30.2
car,00:07:33.2
ball,00:07:40.9
ball,00:07:42.5
ball,00:07:45.6
car,00:07:46.7
ball,00:07:48.2
ball,00:08:01.1
car,00:08:38.0
car,00:08:39.1
car,00:08:40.6
car,00:08:42.9
car,00:08:45.0
car,00:08:48.0
ball,00:08:59.5
ball,00:09:00.8
ball,00:09:03.6
ball,00:09:07.7
ball,00:09:20.6
ball,00:09:32.9
car,00:09:36.4
car,00:10:03.5
zem,00:10:30.8
car,00:10:39.4
car,00:10:49.3
car,00:12:39.7
car,00:12:41.3
car,00:12:44.9
car,00:12:47.6
ball,00:13:23.8
