name,time 
zem,00:01.8
zem,00:03.1
ball,00:10.4
ball,00:12.3
ball,00:21.3
zem,00:23.0
zem,00:26.1
ball,00:27.4
zem,00:43.6
zem,00:47.4
ball,00:48.8
ball,00:50.5
zem,01:02.3
ball,01:07.0
ball,01:22.3
ball,01:33.5
ball,01:35.6
zem,01:52.8
zem,01:54.8
zem,02:07.1
ball,02:11.4
ball,02:22.5
zem,02:30.0
ball,02:32.9
ball,02:54.1
ball,03:01.2
ball,03:19.0
ball,04:15.2
zem,04:18.6
ball,04:57.2
ball,05:28.1
ball,05:36.0
ball,05:45.7
ball,05:47.6
zem,05:51.7
zem,06:02.4
zem,06:04.0
zem,06:08.8
car,06:14.7
car,06:17.3
manu,06:18.2
manu,06:39.0
manu,06:51.3
manu,06:54.3
manu,06:57.4
car,06:59.3
car,07:11.1
car,07:12.6
car,07:39.8
manu,07:45.9
manu,07:50.7
car,07:58.8
car,07:58.8
manu,08:26.0
car,08:34.3
manu,09:37.1
car,09:44.3
brush,10:03.7
