name,time
zem,00:00.6
ball,00:03.3
zem,00:09.1
zem,00:23.8
ball,00:35.5
ball,00:46.4
ball,00:48.1
zem,01:07.3
zem,01:18.3
ball,01:30.5
ball,01:32.3
ball,01:33.8
zem,01:50.2
ball,02:23.6
ball,02:25.2
ball,02:31.2
zem,02:36.1
zem,02:40.3
ball,02:59.9
ball,03:03.8
ball,03:06.2
ball,03:08.8
ball,03:14.9
zem,03:17.2
ball,03:18.4
ball,03:20.2
car,03:32.8
car,03:40.3
manu,03:45.1
manu,03:46.8
car,03:52.5
car,03:53.6
brush,04:06.3
brush,04:10.4
brush,04:12.7
tima,04:14.0
tima,04:16.0
tima,04:22.2
brush,04:33.3
tima,04:50.4
brush,05:42.1
brush,05:48.7
tima,06:09.3
tima,06:12.3
brush,06:33.3
brush,06:35.4
brush,06:50.1
manu (sound starting to be misaligned),07:45.8
manu,07:47.5
car,08:01.1
car,08:27.6
car,08:31.6
car,08:35.0
manu,08:43.9
zem,09:18.4
zem,09:19.3
zem,09:30.8
zem,09:39.3
