name,time
ball,00:06.3
ball,00:08.1
ball,00:09.8
ball,00:11.2
ball,00:16.7
tima,00:28.0
tima,00:30.5
ball,00:51.1
ball,01:04.6
ball,01:17.0
ball,01:21.0
ball,01:22.9
ball,01:29.5
car,01:36.8
car,01:44.6
manu,02:27.2
manu,02:29.5
zem,02:51.7
car,02:57.3
car,03:19.7
car,03:44.7
car,03:47.7
brush,04:26.3
brush,04:29.0
manu,05:05.2
car,05:16.4
car,05:17.4
ball,05:45.0
brush,05:48.1
brush,05:48.5
brush,05:48.8
zem,05:51.2
car,07:30.3
car,07:33.2
ball,07:40.9
ball,07:42.6
ball,07:45.7
car,07:46.7
ball,07:48.3
ball,08:01.2
car,08:38.2
car,08:39.2
car,08:40.6
car,08:42.9
car,08:45.0
car,08:47.9
ball,08:59.5
ball,09:00.8
ball,09:03.6
ball,09:07.7
ball,09:33.0
car,09:36.5
car,10:03.5
zem,10:30.8
car,10:39.4
car,10:49.3
tima,12:02.7
car,12:39.7
car,12:41.4
car,12:45.0
car,12:47.7
ball,13:23.9
