name,time
ball,00:02.2
zem,00:15.3
zem,00:16.4
zem,00:21.0
zem,00:23.4
ball,00:26.8
ball,00:28.3
ball,00:35.3
zem,00:35.9
ball,00:40.5
zem,00:41.0
zem,00:41.4
zem,00:43.8
ball,00:49.2
ball,00:49.9
ball,00:53.6
ball,00:56.8
ball,01:00.3
ball,01:06.0
zem,01:12.0
zem,01:17.0
zem,01:19.2
ball,01:26.8
ball,01:27.2
zem,01:28.4
zem,01:44.2
ball,01:45.7
zem,01:47.0
zem,01:51.2
zem,02:01.7
ball,02:08.9
car,02:17.2
car,02:19.9
car,02:21.5
manu,02:36.3
manu,02:38.4
manu,02:44.8
manu,03:02.4
car,03:05.2
car,03:29.2
manu,03:30.5
manu,03:35.3
car,03:45.7
car,03:49.8
car,03:54.9
manu,04:18.6
manu,04:20.6
manu,04:21.6
car,04:40.7
car,04:42.3
manu,04:49.1
car,04:49.9
brush,04:59.9
brush,05:01.4
brush,05:03.5
tima,05:05.6
tima,05:06.8
tima,05:09.8
tima,05:18.8
brush,05:38.0
brush,05:39.2
tima,05:57.7
brush,06:08.8
brush,06:11.3
brush,06:21.9
brush,06:34.8
brush,06:44.7
tima,06:56.1
tima,06:57.5
tima,07:04.8
brush,07:14.1
tima,07:21.9
brush,07:23.4
brush,07:25.9
tima,07:52.7
tima,07:53.6
tima,08:24.1
brush,08:25.5
tima,08:34.4
brush,08:38.4
tima,08:53.4
car,09:02.9
zem,09:03.3
car,09:05.3
zem,09:05.4
brush,09:07.5
brush,09:08.6
tima,09:10.8
tima,09:12.0
brush,09:26.6
tima,09:36.2
brush,09:51.3
brush,09:52.4
brush,09:53.5
tima,10:50.2
zem,10:50.6
brush,10:51.4
ball,10:53.6
zem,10:54.0
ball,10:55.4
zem,10:57.2
ball,11:03.6
zem,11:20.3
zem,11:23.0
ball,11:41.9
ball,12:07.5
ball,12:10.2
zem,12:19.6
ball,12:24.7
ball,12:27.9
zem,12:48.2
zem,12:53.1
ball,12:57.2
car,13:03.9
manu,13:04.3
car,13:09.6
manu,13:10.4
