name,time
brush,00:03.0
brush,00:05.7
brush,00:24.9
brush,00:35.1
brush,01:09.4
brush,01:10.3
brush,01:12.7
brush,01:15.3
brush,01:21.9
brush,01:48.9
tima,01:51.0
tima,01:53.1
tima,02:01.7
tima,02:06.7
tima,02:15.0
tima,02:17.5
tima,02:37.9
tima,02:40.3
brush,03:08.6
brush,03:16.8
brush,03:28.4
tima,03:29.0
brush,03:31.0
tima,03:31.6
tima,03:33.0
brush,03:38.9
tima,03:39.8
brush,03:54.4
tima,04:01.8
brush,04:48.1
tima,04:49.1
tima,04:50.9
brush,04:52.6
brush,04:57.1
brush,05:02.3
tima,05:08.8
brush,05:38.3
brush,06:25.6
tima,06:26.2
brush,06:42.8
tima,06:43.3
brush,07:03.0
tima,07:03.6
brush,07:14.5
brush,07:18.9
brush,07:44.7
tima,08:32.3
brush,09:28.2
tima,09:32.7
tima,09:41.3
tima,09:45.0
brush,10:50.7
tima,13:58.0
tima,14:00.6
brush,14:11.6
brush,14:13.5
tima,14:15.7
tima,14:17.6
tima,14:21.6
brush,14:27.3
brush,14:30.6
brush,14:33.6
