name,time
ball,00:04.4
ball,00:06.4
ball,00:08.9
ball,00:18.1
ball,00:29.3
ball,00:41.1
ball,00:59.7
ball,01:11.9
ball,01:12.7
ball,01:16.6
ball,01:18.7
ball,01:29.4
zem,01:31.3
zem,01:38.2
ball,01:42.1
ball,01:56.8
ball,02:12.8
ball,02:19.9
ball,02:30.7
zem,02:33.6
zem,02:36.0
zem,02:38.7
zem,02:43.0
zem,02:45.8
zem,02:48.3
ball,02:49.1
zem,02:49.8
ball,02:50.6
zem,02:53.3
ball,02:54.4
zem,02:57.4
ball,02:58.8
ball,03:33.6
ball,03:36.6
ball,03:49.5
ball,03:51.5
zem,03:55.2
ball,03:57.9
ball,03:59.1
ball,04:02.7
tima,04:24.2
tima,04:36.6
tima,04:40.0
ball,04:42.0
ball,05:00.4
ball,05:05.9
tima,05:21.0
ball,05:22.4
tima,05:25.8
tima,05:29.6
tima,05:33.5
tima,05:59.0
tima,06:16.5
tima,07:06.0
tima,07:29.0
tima,08:19.0
tima,09:16.9
zem,09:36.0
tima,09:36.0
tima,09:40.6
tima,10:19.4
tima,10:28.8
tima,10:50.9
tima,10:51.5
tima,10:52.1
tima,11:07.6
ball,11:34.9
tima,11:35.5
ball,11:38.3
ball,11:43.7
tima,11:55.6
ball,11:56.8
ball,12:11.6
ball,12:45.2
ball,12:54.0
ball,13:13.9
ball,13:14.7
ball,13:16.7
ball,13:19.8
tima,13:34.1
zem,14:01.0
zem,14:04.5
zem,14:05.2
zem,14:05.6
zem,14:06.0
zem,14:07.5
zem,14:10.9
ball,14:26.3
ball,14:28.3
ball,14:29.9
ball,14:43.0
ball,15:00.0
ball,15:02.1
