name,time
ball,00:29.0
zem,00:44.0
zem,00:46.0
zem,01:04.0
zem,01:06.0
tima,02:46.0
tima,02:52.0
tima,03:10.0
manu,03:20.0
zem,04:44.0
zem,04:50.0
brush,05:23.0
ball,05:39.0
ball,05:44.0
tima,05:51.0
tima,06:02.0
tima,06:12.0
ball,06:26.0
zem,06:36.0
zem,06:55.0
zem,07:26.0
manu,07:32.0
manu,07:36.0
manu,07:40.0
brush,07:47.0
ball,07:48.0
ball,07:49.0
brush,08:05.0
brush,08:26.0
brush,08:59.0
tima,09:11.0
tima,09:14.0
manu,09:17.0
brush,09:22.0
manu,09:39.0
manu,10:21.0
manu,10:30.0
zem,10:34.0
zem,10:36.0
zem,10:39.0
zem,10:44.0
zem,10:48.0
zem,10:50.0
zem,11:02.0
zem,11:05.0
car,13:12.0
car,13:18.0
tima,13:47.0
tima,14:07.0
tima,14:16.0
ball,14:44.0
ball,14:53.0
ball,15:03.0
ball,15:14.0
