frame,time
1,0.028
2,0.061
3,0.094
4,0.128
5,0.161
6,0.195
7,0.228
8,0.261
9,0.295
10,0.328
11,0.361
12,0.395
13,0.428
14,0.462
15,0.495
16,0.528
17,0.562
18,0.595
19,0.628
20,0.662
21,0.695
22,0.729
23,0.762
24,0.795
25,0.829
26,0.862
27,0.895
28,0.929
29,0.962
30,0.996
31,1.029
32,1.062
33,1.096
34,1.129
35,1.162
36,1.196
37,1.229
38,1.262
39,1.296
40,1.329
41,1.363
42,1.396
43,1.429
44,1.463
45,1.496
46,1.529
47,1.563
48,1.596
49,1.630
50,1.663
51,1.696
52,1.730
53,1.763
54,1.796
55,1.830
56,1.863
57,1.897
58,1.930
59,1.963
60,1.997
61,2.030
62,2.063
63,2.097
64,2.130
65,2.164
66,2.197
67,2.230
68,2.264
69,2.297
70,2.330
71,2.364
72,2.397
73,2.431
74,2.464
75,2.497
76,2.531
77,2.564
78,2.597
79,2.631
80,2.664
81,2.697
82,2.731
83,2.764
84,2.798
85,2.831
86,2.864
87,2.898
88,2.931
89,2.964
90,2.998
91,3.031
92,3.065
93,3.098
94,3.131
95,3.165
96,3.198
97,3.231
98,3.265
99,3.298
100,3.332
101,3.365
102,3.398
103,3.432
104,3.465
105,3.498
106,3.532
107,3.565
108,3.599
109,3.632
110,3.665
111,3.699
112,3.732
113,3.765
114,3.799
115,3.832
116,3.866
117,3.899
118,3.932
119,3.966
120,3.999
121,4.032
122,4.066
123,4.099
124,4.132
125,4.166
126,4.199
127,4.233
128,4.266
129,4.299
130,4.333
131,4.366
132,4.399
133,4.433
134,4.466
135,4.500
136,4.533
137,4.566
138,4.600
139,4.633
140,4.666
141,4.700
142,4.733
143,4.767
144,4.800
145,4.833
146,4.867
147,4.900
148,4.933
149,4.967
150,5.000
151,5.034
152,5.067
153,5.100
154,5.134
155,5.167
156,5.200
157,5.234
158,5.267
159,5.300
160,5.334
161,5.367
162,5.401
163,5.434
164,5.467
165,5.501
166,5.534
167,5.567
168,5.601
169,5.634
170,5.668
171,5.701
172,5.734
173,5.768
174,5.801
175,5.834
176,5.868
177,5.901
178,5.935
179,5.968
180,6.001
181,6.035
182,6.068
183,6.101
184,6.135
185,6.168
186,6.202
187,6.235
188,6.268
189,6.302
190,6.335
191,6.368
192,6.402
193,6.435
194,6.469
195,6.502
196,6.535
197,6.569
198,6.602
199,6.635
200,6.669
201,6.702
202,6.735
203,6.769
204,6.802
205,6.836
206,6.869
207,6.902
208,6.936
209,6.969
210,7.002
211,7.036
212,7.069
213,7.103
214,7.136
215,7.169
216,7.203
217,7.236
218,7.269
219,7.303
220,7.336
221,7.370
222,7.403
223,7.436
224,7.470
225,7.503
226,7.536
227,7.570
228,7.603
229,7.637
230,7.670
231,7.703
232,7.737
233,7.770
234,7.803
235,7.837
236,7.870
237,7.904
238,7.937
239,7.970
240,8.004
241,8.037
242,8.070
243,8.104
244,8.137
245,8.170
246,8.204
247,8.237
248,8.271
249,8.304
250,8.337
251,8.371
252,8.404
253,8.437
254,8.471
255,8.504
256,8.538
257,8.571
258,8.604
259,8.638
260,8.671
261,8.704
262,8.738
263,8.771
264,8.805
265,8.838
266,8.871
267,8.905
268,8.938
269,8.971
270,9.005
271,9.038
272,9.072
273,9.105
274,9.138
275,9.172
276,9.205
277,9.238
278,9.272
279,9.305
280,9.339
281,9.372
282,9.405
283,9.439
284,9.472
285,9.505
286,9.539
287,9.572
288,9.605
289,9.639
290,9.672
291,9.706
292,9.739
293,9.772
294,9.806
295,9.839
296,9.872
297,9.906
298,9.939
299,9.973
300,10.006
301,10.039
302,10.073
303,10.106
304,10.139
305,10.173
306,10.206
307,10.240
308,10.273
309,10.306
310,10.340
311,10.373
312,10.406
313,10.440
314,10.473
315,10.507
316,10.540
317,10.573
318,10.607
319,10.640
320,10.673
321,10.707
322,10.740
323,10.774
324,10.807
325,10.840
