frame,time
1,0.006
2,0.039
3,0.073
4,0.106
5,0.140
6,0.173
7,0.206
8,0.240
9,0.273
10,0.307
11,0.340
12,0.373
13,0.407
14,0.440
15,0.474
16,0.507
17,0.541
18,0.574
19,0.607
20,0.641
21,0.674
22,0.708
23,0.741
24,0.775
25,0.808
26,0.841
27,0.875
28,0.908
29,0.942
30,0.975
31,1.008
32,1.042
33,1.075
34,1.109
35,1.142
36,1.176
37,1.209
38,1.242
39,1.276
40,1.309
41,1.343
42,1.376
43,1.410
44,1.443
45,1.476
46,1.510
47,1.543
48,1.577
49,1.610
50,1.643
51,1.677
52,1.710
53,1.744
54,1.777
55,1.811
56,1.844
57,1.877
58,1.911
59,1.944
60,1.978
61,2.011
62,2.045
63,2.078
64,2.111
65,2.145
66,2.178
67,2.212
68,2.245
69,2.279
70,2.312
71,2.345
72,2.379
73,2.412
74,2.446
75,2.479
76,2.512
77,2.546
78,2.579
79,2.613
80,2.646
81,2.680
82,2.713
83,2.746
84,2.780
85,2.813
86,2.847
87,2.880
88,2.914
89,2.947
90,2.980
91,3.014
92,3.047
93,3.081
94,3.114
95,3.147
96,3.181
97,3.214
98,3.248
99,3.281
100,3.315
101,3.348
102,3.381
103,3.415
104,3.448
105,3.482
106,3.515
107,3.549
108,3.582
109,3.615
110,3.649
111,3.682
112,3.716
113,3.749
114,3.783
115,3.816
116,3.849
117,3.883
118,3.916
119,3.950
120,3.983
121,4.016
122,4.050
123,4.083
124,4.117
125,4.150
126,4.184
127,4.217
128,4.250
129,4.284
130,4.317
131,4.351
132,4.384
133,4.418
134,4.451
135,4.484
136,4.518
137,4.551
138,4.585
139,4.618
140,4.651
141,4.685
142,4.718
143,4.752
144,4.785
145,4.819
146,4.852
147,4.885
148,4.919
149,4.952
150,4.986
151,5.019
152,5.053
153,5.086
154,5.119
155,5.153
156,5.186
157,5.220
158,5.253
159,5.286
160,5.320
161,5.353
162,5.387
163,5.420
164,5.454
165,5.487
166,5.520
167,5.554
168,5.587
169,5.621
170,5.654
171,5.688
172,5.721
173,5.754
174,5.788
175,5.821
176,5.855
177,5.888
178,5.922
179,5.955
180,5.988
181,6.022
182,6.055
183,6.089
184,6.122
185,6.155
186,6.189
187,6.222
188,6.256
189,6.289
190,6.323
191,6.356
192,6.389
193,6.423
194,6.456
195,6.490
196,6.523
197,6.557
198,6.590
199,6.623
200,6.657
201,6.690
202,6.724
203,6.757
204,6.790
205,6.824
206,6.857
207,6.891
208,6.924
209,6.958
210,6.991
211,7.024
212,7.058
213,7.091
214,7.125
215,7.158
216,7.192
217,7.225
218,7.258
219,7.292
220,7.325
221,7.359
222,7.392
223,7.426
224,7.459
225,7.492
226,7.526
227,7.559
228,7.593
229,7.626
230,7.659
231,7.693
232,7.726
233,7.760
234,7.793
235,7.827
236,7.860
237,7.893
238,7.927
239,7.960
240,7.994
241,8.027
242,8.061
243,8.094
244,8.127
245,8.161
246,8.194
247,8.228
248,8.261
249,8.294
250,8.328
251,8.361
252,8.395
253,8.428
254,8.462
255,8.495
256,8.528
257,8.562
258,8.595
259,8.629
260,8.662
261,8.696
262,8.729
263,8.762
264,8.796
265,8.829
266,8.863
267,8.896
268,8.929
269,8.963
270,8.996
271,9.030
272,9.063
273,9.097
274,9.130
275,9.163
276,9.197
277,9.230
278,9.264
279,9.297
280,9.331
281,9.364
282,9.397
283,9.431
284,9.464
285,9.498
286,9.531
287,9.565
288,9.598
289,9.631
290,9.665
291,9.698
292,9.732
293,9.765
294,9.798
295,9.832
296,9.865
297,9.899
298,9.932
299,9.966
300,9.999
301,10.032
302,10.066
303,10.099
304,10.133
305,10.166
306,10.200
307,10.233
308,10.266
309,10.300
310,10.333
311,10.367
312,10.400
313,10.433
314,10.467
315,10.500
316,10.534
317,10.567
318,10.601
319,10.634
320,10.667
321,10.701
322,10.734
323,10.768
324,10.801
325,10.835
326,10.868
327,10.901
328,10.935
329,10.968
330,11.002
331,11.035
332,11.069
333,11.102
334,11.135
335,11.169
336,11.202
337,11.236
338,11.269
339,11.302
340,11.336
341,11.369
342,11.403
343,11.436
344,11.470
345,11.503
346,11.536
347,11.570
348,11.603
349,11.637
350,11.670
351,11.704
352,11.737
353,11.770
354,11.804
355,11.837
356,11.871
357,11.904
358,11.937
359,11.971
360,12.004
361,12.038
362,12.071
363,12.105
364,12.138
365,12.171
366,12.205
367,12.238
368,12.272
369,12.305
370,12.339
371,12.372
372,12.405
373,12.439
374,12.472
375,12.506
376,12.539
377,12.572
378,12.606
379,12.639
380,12.673
381,12.706
382,12.740
383,12.773
384,12.806
385,12.840
386,12.873
387,12.907
388,12.940
389,12.974
390,13.007
391,13.040
392,13.074
393,13.107
394,13.141
395,13.174
396,13.208
397,13.241
398,13.274
399,13.308
400,13.341
401,13.375
402,13.408
403,13.441
404,13.475
405,13.508
406,13.542
407,13.575
408,13.609
409,13.642
410,13.675
411,13.709
412,13.742
413,13.776
414,13.809
415,13.843
416,13.876
417,13.909
418,13.943
419,13.976
420,14.010
421,14.043
422,14.076
423,14.110
424,14.143
425,14.177
426,14.210
427,14.244
428,14.277
429,14.310
430,14.344
431,14.377
432,14.411
433,14.444
434,14.478
435,14.511
436,14.544
437,14.578
438,14.611
439,14.645
440,14.678
441,14.712
442,14.745
443,14.778
444,14.812
445,14.845
446,14.879
447,14.912
448,14.945
449,14.979
450,15.012
451,15.046
452,15.079
453,15.113
454,15.146
455,15.179
456,15.213
457,15.246
458,15.280
459,15.313
460,15.347
461,15.380
462,15.413
463,15.447
464,15.480
465,15.514
466,15.547
467,15.580
468,15.614
469,15.647
470,15.681
471,15.714
472,15.748
473,15.781
474,15.814
475,15.848
476,15.881
477,15.915
478,15.948
479,15.982
480,16.015
481,16.048
482,16.082
483,16.115
484,16.149
485,16.182
486,16.215
487,16.249
488,16.282
489,16.316
490,16.349
491,16.383
492,16.416
493,16.449
494,16.483
495,16.516
496,16.550
497,16.583
498,16.617
499,16.650
500,16.683
501,16.717
502,16.750
503,16.784
504,16.817
505,16.851
506,16.884
507,16.917
508,16.951
509,16.984
510,17.018
511,17.051
512,17.084
513,17.118
514,17.151
515,17.185
516,17.218
517,17.252
518,17.285
519,17.318
520,17.352
521,17.385
522,17.419
523,17.452
524,17.486
525,17.519
526,17.552
527,17.586
528,17.619
529,17.653
530,17.686
531,17.719
532,17.753
533,17.786
534,17.820
535,17.853
536,17.887
537,17.920
538,17.953
539,17.987
540,18.020
541,18.054
542,18.087
543,18.121
544,18.154
545,18.187
546,18.221
547,18.254
548,18.288
549,18.321
550,18.354
551,18.388
552,18.421
553,18.455
554,18.488
555,18.522
556,18.555
557,18.588
558,18.622
559,18.655
560,18.689
561,18.722
562,18.756
563,18.789
564,18.822
565,18.856
566,18.889
567,18.923
568,18.956
569,18.990
570,19.023
571,19.056
572,19.090
573,19.123
574,19.157
575,19.190
576,19.223
577,19.257
578,19.290
579,19.324
580,19.357
581,19.391
582,19.424
583,19.457
584,19.491
585,19.524
586,19.558
587,19.591
588,19.625
589,19.658
590,19.691
591,19.725
592,19.758
593,19.792
594,19.825
595,19.858
596,19.892
597,19.925
598,19.959
599,19.992
600,20.026
601,20.059
602,20.092
603,20.126
604,20.159
605,20.193
606,20.226
607,20.260
608,20.293
609,20.326
610,20.360
611,20.393
612,20.427
613,20.460
614,20.494
615,20.527
616,20.560
617,20.594
618,20.627
619,20.661
620,20.694
621,20.727
622,20.761
623,20.794
624,20.828
625,20.861
626,20.895
627,20.928
628,20.961
629,20.995
630,21.028
631,21.062
632,21.095
633,21.129
634,21.162
635,21.195
636,21.229
637,21.262
638,21.296
639,21.329
640,21.362
641,21.396
642,21.429
643,21.463
644,21.496
645,21.530
646,21.563
647,21.596
648,21.630
649,21.663
650,21.697
651,21.730
652,21.764
653,21.797
654,21.830
655,21.864
656,21.897
657,21.931
658,21.964
659,21.997
660,22.031
661,22.064
662,22.098
663,22.131
664,22.165
665,22.198
666,22.231
667,22.265
668,22.298
669,22.332
670,22.365
671,22.399
672,22.432
673,22.465
674,22.499
675,22.532
676,22.566
677,22.599
678,22.633
679,22.666
680,22.699
681,22.733
682,22.766
683,22.800
684,22.833
685,22.866
686,22.900
687,22.933
688,22.967
689,23.000
690,23.034
691,23.067
692,23.100
693,23.134
694,23.167
695,23.201
696,23.234
697,23.268
698,23.301
699,23.334
700,23.368
701,23.401
702,23.435
703,23.468
704,23.501
705,23.535
706,23.568
707,23.602
708,23.635
709,23.669
710,23.702
711,23.735
712,23.769
713,23.802
714,23.836
715,23.869
716,23.903
717,23.936
718,23.969
719,24.003
720,24.036
721,24.070
722,24.103
723,24.137
724,24.170
725,24.203
726,24.237
727,24.270
728,24.304
729,24.337
730,24.370
731,24.404
732,24.437
733,24.471
734,24.504
735,24.538
736,24.571
737,24.604
738,24.638
739,24.671
740,24.705
741,24.738
742,24.772
743,24.805
744,24.838
745,24.872
746,24.905
747,24.939
748,24.972
749,25.005
750,25.039
751,25.072
752,25.106
753,25.139
754,25.173
755,25.206
756,25.239
757,25.273
758,25.306
759,25.340
760,25.373
761,25.407
762,25.440
763,25.473
764,25.507
765,25.540
766,25.574
767,25.607
768,25.640
769,25.674
770,25.707
771,25.741
772,25.774
773,25.808
774,25.841
775,25.874
776,25.908
777,25.941
778,25.975
779,26.008
780,26.042
781,26.075
782,26.108
783,26.142
784,26.175
785,26.209
786,26.242
787,26.276
788,26.309
789,26.342
790,26.376
791,26.409
792,26.443
793,26.476
794,26.509
795,26.543
796,26.576
797,26.610
798,26.643
799,26.677
800,26.710
801,26.743
802,26.777
803,26.810
804,26.844
805,26.877
806,26.911
807,26.944
808,26.977
809,27.011
810,27.044
811,27.078
812,27.111
813,27.144
814,27.178
815,27.211
816,27.245
817,27.278
818,27.312
819,27.345
820,27.378
821,27.412
822,27.445
823,27.479
824,27.512
825,27.546
826,27.579
827,27.612
828,27.646
829,27.679
830,27.713
831,27.746
832,27.780
833,27.813
834,27.846
835,27.880
836,27.913
837,27.947
838,27.980
839,28.013
840,28.047
841,28.080
842,28.114
843,28.147
844,28.181
845,28.214
846,28.247
847,28.281
848,28.314
849,28.348
850,28.381
851,28.415
852,28.448
853,28.481
854,28.515
855,28.548
856,28.582
857,28.615
858,28.648
859,28.682
860,28.715
861,28.749
862,28.782
863,28.816
864,28.849
865,28.882
866,28.916
867,28.949
868,28.983
869,29.016
870,29.050
871,29.083
872,29.116
873,29.150
874,29.183
875,29.217
876,29.250
877,29.283
878,29.317
879,29.350
880,29.384
881,29.417
882,29.451
883,29.484
884,29.517
885,29.551
886,29.584
887,29.618
888,29.651
889,29.685
890,29.718
891,29.751
892,29.785
893,29.818
894,29.852
895,29.885
896,29.919
897,29.952
898,29.985
899,30.019
900,30.052
901,30.086
902,30.119
903,30.152
904,30.186
905,30.219
906,30.253
907,30.286
908,30.320
909,30.353
910,30.386
911,30.420
912,30.453
913,30.487
914,30.520
915,30.554
916,30.587
917,30.620
918,30.654
919,30.687
920,30.721
921,30.754
922,30.787
923,30.821
924,30.854
925,30.888
926,30.921
927,30.955
928,30.988
929,31.021
930,31.055
931,31.088
932,31.122
933,31.155
934,31.189
935,31.222
936,31.255
937,31.289
938,31.322
939,31.356
940,31.389
941,31.423
942,31.456
943,31.489
944,31.523
945,31.556
946,31.590
947,31.623
948,31.656
949,31.690
950,31.723
951,31.757
952,31.790
953,31.824
954,31.857
955,31.890
956,31.924
957,31.957
958,31.991
959,32.024
960,32.058
961,32.091
962,32.124
963,32.158
964,32.191
965,32.225
966,32.258
967,32.291
968,32.325
969,32.358
970,32.392
971,32.425
972,32.459
973,32.492
974,32.525
975,32.559
976,32.592
977,32.626
978,32.659
979,32.693
980,32.726
981,32.759
982,32.793
983,32.826
984,32.860
985,32.893
986,32.926
987,32.960
988,32.993
989,33.027
990,33.060
991,33.094
992,33.127
993,33.160
994,33.194
995,33.227
996,33.261
997,33.294
998,33.328
999,33.361
1000,33.394
1001,33.428
1002,33.461
1003,33.495
1004,33.528
1005,33.562
1006,33.595
1007,33.628
1008,33.662
1009,33.695
1010,33.729
1011,33.762
1012,33.795
1013,33.829
1014,33.862
1015,33.896
1016,33.929
1017,33.963
1018,33.996
1019,34.029
1020,34.063
1021,34.096
1022,34.130
1023,34.163
1024,34.197
1025,34.230
1026,34.263
1027,34.297
1028,34.330
1029,34.364
1030,34.397
1031,34.430
