code,start,stop,type,orient
posture,64933,157741,c,NaN
posture,157742,184525,p,0
posture,184525,213852,p,1
posture,213853,263161,si,3
posture,263162,271005,p,1
posture,280178,323670,si,3
posture,318741,348933,st,1
posture,348933,406687,si,2
posture,406688,482514,st,1
posture,484250,502135,c,NaN
posture,502136,527960,st,1
posture,527961,540794,c,NaN
posture,540795,568942,si,2
posture,568943,736528,c,NaN
posture,736529,746572,si,3
posture,746676,966416,c,NaN
not-in-frame,163013,187447,NIF,NIF
