code,start,stop,type,orient
not-in-frame,528122,546176,NaN,NaN
not-in-frame,633556,642573,NaN,NaN
not-in-frame,647338,719610,NaN,NaN
not-in-frame,737732,765748,NaN,NaN
not-in-frame,778736,881008,NaN,NaN
posture,25060,76533,si,2
posture,76534,84727,p,2
posture,84728,95029,si,2
posture,95030,113321,si,1
posture,113322,124450,p,0
posture,124451,131885,si,0
posture,131886,134469,p,2
posture,134470,142085,si,1
posture,142086,144055,p,1
posture,144056,145655,p,0
posture,145656,146947,si,0
posture,146948,148477,p,0
posture,148478,152897,si,0
posture,152898,160615,p,0
posture,160616,179009,si,0
posture,179010,201279,p,0
posture,201280,209915,si,0
posture,209916,211989,p,0
posture,211990,243065,si,0
posture,243066,245309,p,1
posture,245310,258433,si,1
posture,258434,263941,p,2
posture,263942,271115,si,2
posture,271116,274889,p,2
posture,274890,278051,si,2
posture,278052,281145,p,2
posture,281146,293827,si,2
posture,293828,295731,p,2
posture,295732,313921,si,2
posture,313922,316131,p,1
posture,316132,318137,si,1
posture,318138,323271,p,1
posture,323272,330309,si,1
posture,330310,333743,p,2
posture,333744,339761,si,2
posture,339762,341733,p,2
posture,341734,351797,si,2
posture,351798,355346,p,2
posture,355347,357135,si,3
posture,357136,360569,p,0
posture,360570,365907,si,0
posture,365908,379813,si,2
posture,379814,432173,si,1
posture,432174,438667,NaN,NaN
posture,438668,449751,si,1
posture,449752,451825,p,1
posture,451826,463521,si,2
posture,463522,470627,p,1
posture,470628,482017,st,1
posture,482018,520647,si,1
posture,520648,527340,st,1
posture,527341,528993,c,NaN
posture,528994,546617,si,3
posture,546618,551413,p,3
posture,551414,617609,si,2
posture,617610,621519,si,1
posture,621520,633997,st,1
posture,633998,642429,p,2
posture,642430,647393,si,2
posture,647394,656505,p,2
posture,656506,696831,si,2
posture,696832,715971,si,3
posture,715972,730779,NaN,NaN
posture,730780,737950,si,3
posture,737951,741608,si,3
posture,741609,749433,NaN,NaN
posture,749434,770304,si,3
posture,770304,775369,si,2
posture,775370,777613,si,1
posture,777614,797639,st,1
posture,797640,882979,c,NaN
posture,882980,908390,si,1
