code,start,stop,type,orient
not-in-frame,291618,303076,NIF,NIF
not-in-frame,309094,318172,NIF,NIF
not-in-frame,549848,553010,NIF,NIF
not-in-frame,725016,741709,NIF,NIF
not-in-frame,742764,747319,NIF,NIF
not-in-frame,750312,757588,NIF,NIF
not-in-frame,888080,903346,NIF,NIF
posture,18698,30132,st,0
posture,30133,50693,st,1
posture,50694,52633,p,1
posture,52634,84761,si,2
posture,84762,123317,si,1
posture,123318,124813,p,2
posture,124814,133110,st,0
posture,133111,140521,st,1
posture,140522,142417,p,2
posture,142418,170113,st,2
posture,170114,197385,st,1
posture,197386,216133,st,2
posture,216134,222994,st,1
posture,222995,226630,st,2
posture,226631,231592,st,1
posture,231593,236367,st,2
posture,236368,237659,p,1
posture,237660,247048,st,2
posture,247049,273699,st,1
posture,273700,275441,st,2
posture,275442,280845,st,0
posture,280846,282981,st,1
posture,282982,290261,si,2
posture,290262,295629,st,0
posture,295630,309093,NaN,NaN
posture,309094,312697,st,2
posture,312698,318137,st,1
posture,318138,322829,st,2
posture,322830,352919,st,1
posture,352920,398304,si,3
posture,398305,429657,si,2
posture,429658,432328,st,2
posture,432329,437919,st,0
posture,437920,442373,st,2
posture,442374,468493,st,0
posture,468494,479520,si,0
posture,479521,486217,st,0
posture,486218,542877,st,1
posture,542878,545685,st,2
posture,545685,547430,st,0
posture,547431,549152,p,0
posture,549153,554078,st,0
posture,554079,557905,st,1
posture,557906,560483,st,2
posture,560484,565885,st,1
posture,565886,576794,st,2
posture,576794,593594,st,1
posture,593595,620821,st,2
posture,620822,622813,p,2
posture,622814,629469,st,1
posture,629470,631956,st,2
posture,631957,643959,st,1
posture,643960,648931,st,3
posture,648932,656617,st,2
posture,656618,664367,st,1
posture,664368,671266,st,2
posture,671267,683272,st,1
posture,683273,685532,st,2
posture,685533,694925,si,2
posture,694926,695979,st,2
posture,695980,717512,st,1
posture,717513,724981,st,2
posture,724982,741233,st,0
posture,741234,743477,st,1
posture,743478,760472,st,0
posture,760473,763474,st,2
posture,763475,767549,st,0
posture,767550,774383,st,1
posture,774384,807295,si,3
posture,807296,809369,st,2
posture,809370,811715,si,2
posture,811716,814299,st,2
posture,814300,828239,st,1
posture,828240,855655,st,2
posture,855656,858322,si,2
posture,858323,863837,st,2
posture,863838,866989,p,2
posture,866990,877525,st,2
posture,877526,882470,st,1
posture,882471,887348,st,2
posture,887349,903651,st,0
posture,903652,912763,st,1
posture,912764,914537,st,2
posture,914538,919646,st,0
posture,919647,923745,st,2
posture,923746,927200,st,1
