code,start,stop,type,orient
posture,990,54993,si ,0
posture,54994,85964,si,2
posture,85964,92843,p,1
posture,92844,158003,si,2
posture,158004,171704,p,1
posture,171705,183546,si ,3
posture,183547,189425,c,NaN
posture,189426,254241,si ,3
posture,254242,268068,p,1
posture,268069,279433,si,2
posture,279434,308894,si,1
posture,308895,329025,si,2
posture,329026,342201,p,1
posture,342202,422073,si ,2
posture,422074,432901,si ,1
posture,432902,451813,p,1
posture,451814,489880,si ,1
posture,489881,504114,p,1
posture,504115,515802,si,1
posture,515803,533088,si,3
posture,533089,549744,p,0
posture,549745,571530,si,0
posture,571531,579777,p,0
posture,579778,586224,si,0
posture,586225,602098,p,0
posture,602099,640636,si ,0
posture,640637,650621,p,0
posture,650622,661813,si,0
posture,661814,674616,p,1
posture,674617,681073,c,NaN
posture,681074,705226,p,1
posture,705227,712823,si ,3
posture,712824,715076,p,0
posture,715077,730918,si,0
posture,730919,741458,p,1
posture,741459,751595,si,3
posture,751596,769018,p,1
posture,769019,839015,si ,3
posture,839016,844719,si ,1
posture,844720,675314,p,1
not-in-frame,675315,702110,NIF,NIF
not-in-frame,764956,823733,NIF,NIF
