code,start,stop,type,orient
not-in-frame,323123,333030,NIF,NIF
not-in-frame,335580,353022,NIF,NIF
not-in-frame,698496,721310,NIF,NIF
posture,22948,38835,st,1
posture,38836,45015,st,2
posture,45016,52957,st,1
posture,52958,56235,st,2
posture,56236,60281,p,3
posture,60282,66998,st,2
posture,66999,68543,st,3
posture,68544,83909,st,1
posture,83910,90850,st,0
posture,90851,146434,st,1
posture,146435,149118,si,1
posture,149119,192883,st,1
posture,192884,198380,si,2
posture,198381,202392,st,1
posture,202393,224971,st,0
posture,224972,227539,st,1
posture,227540,242476,st,2
posture,242477,253402,st,1
posture,253403,275875,si,2
posture,275876,279649,st,2
posture,279650,293113,si,2
posture,293114,302356,st,2
posture,302357,309747,si,2
posture,309748,313339,st,2
posture,313340,317911,si,2
posture,317912,324004,st,1
posture,324005,331638,st,2
posture,331639,337480,st,3
posture,337481,351351,st,2
posture,351352,398526,st,1
posture,398527,405109,si,2
posture,405110,408746,st,2
posture,408747,414391,p,0
posture,414392,418403,si,2
posture,418404,420375,st,1
posture,420376,425158,si,1
posture,425159,432268,st,1
posture,432269,436958,si,2
posture,436959,462549,si,1
posture,462550,464122,p,2
posture,464123,468723,st,0
posture,468724,471403,st,2
posture,471404,475251,si,2
posture,475252,477053,st,3
posture,477054,480256,st,1
posture,480257,487874,st,2
posture,487875,489793,st,1
posture,489794,492659,si,1
posture,492660,499319,st,1
posture,499320,508605,si,1
posture,508606,512175,p,2
posture,512176,514113,si,1
posture,514114,526378,p,2
posture,526379,568662,si,2
posture,568663,581061,st,1
posture,581062,583813,st,2
posture,583814,585683,p,2
posture,585684,623726,st,1
posture,623727,624987,si,3
posture,624988,646951,st,2
posture,646952,649186,p,3
posture,649187,657899,si,3
posture,657900,662173,st,3
posture,662174,670511,st,1
posture,670512,683144,st,2
posture,683145,688243,st,0
posture,688244,700420,st,1
posture,700421,702148,p,2
posture,702149,708390,st,2
posture,708390,716711,st,1
posture,716712,724351,st,2
posture,724352,725213,st,1
posture,725214,726886,p,1
posture,726887,727512,l,0
posture,730255,735181,p,0
posture,735182,737701,st,1
