code,start,stop,type,orient
not-in-frame,176059,223297,NIF,NIF
not-in-frame,317159,483276,NIF,NIF
not-in-frame,495888,532789,NIF,NIF
not-in-frame,558253,598551,NIF,NIF
not-in-frame,656710,662116,NIF,NIF
not-in-frame,811410,818788,NIF,NIF
not-in-frame,851938,899389,NIF,NIF
not-in-frame,902734,930818,NIF,NIF
not-in-frame,952860,961307,NIF,NIF
posture,35682,76941,si,1
posture,76942,83265,si,2
posture,83266,86325,si,1
posture,86326,90473,si,0
posture,90474,102543,si,1
posture,102544,105234,p,3
posture,105235,110363,si,1
posture,110364,113899,p,2
posture,113900,123776,si,1
posture,123777,131783,si,2
posture,131784,134490,p,2
posture,134491,139637,p,0
posture,139638,147831,si,1
posture,147832,152659,p,2
posture,152660,174385,si,1
posture,174386,178839,p,0
posture,178840,181695,si,1
posture,181696,186999,p,0
posture,188564,202129,si,1
posture,202130,204063,p,1
posture,204064,206398,si,2
posture,206399,225657,p,0
posture,225658,230553,si,2
posture,230554,231335,p,0
posture,231336,243949,si,0
posture,243950,247942,si,1
posture,247943,258676,p,0
posture,258677,262071,p,1
posture,262072,294086,si,1
posture,294087,299842,si,2
posture,299843,316777,si,1
posture,316778,321309,p,0
posture,321310,335001,si,0
posture,335002,371215,si,1
posture,371216,393779,si,2
posture,393780,398853,si,0
posture,398854,446468,si,1
posture,446469,462705,p,2
posture,462706,472361,si,3
posture,472362,482867,si,0
posture,482868,494291,p,1
posture,494292,501295,si,2
posture,501296,525270,si,1
posture,525271,542299,p,2
posture,542300,555083,si,2
posture,555084,556681,p,2
posture,556682,559423,p,3
posture,559424,567935,si,1
posture,567936,575857,p,1
posture,575858,597957,si,0
posture,597958,603465,p,1
posture,603466,610469,si,2
posture,610470,617065,p,1
posture,617066,628013,si,0
posture,628014,639369,p,1
posture,639370,647699,si,2
posture,647700,655825,p,2
posture,655826,661522,p,3
posture,661523,663475,c,NaN
posture,663476,668847,si,3
posture,668848,674253,si,1
posture,674254,677755,p,2
posture,677756,687037,si,1
posture,687038,693463,p,2
posture,693464,700501,p,3
posture,700502,707097,si,2
posture,707098,715291,p,3
posture,715292,729537,si,1
posture,729538,733515,p,2
posture,733516,738173,si,3
posture,738174,752827,st,3
posture,752828,759015,p,2
posture,759016,768569,si,2
posture,768570,780265,p,2
posture,780266,794817,si,1
posture,794818,798523,p,2
posture,798524,809403,si,1
posture,809404,812055,p,3
posture,812056,818719,si,0
posture,818720,820249,p,1
posture,820250,829454,si,0
posture,829455,833790,si,1
posture,833791,847381,si,0
posture,847382,852137,p,2
posture,852138,865062,si,0
posture,865063,868150,si,2
posture,868151,870161,si,0
posture,870162,875412,p,0
posture,875413,892106,p,2
posture,892107,897361,si,1
posture,897362,900013,p,2
posture,900014,903625,si,1
posture,903626,933707,p,3
posture,933708,942819,si,1
posture,942820,946491,p,1
posture,946492,950333,si,1
posture,950334,961307,p,2
