sid,sync_time_stamp,,
XS_0801,0:31:07,,
XS_0803,1:26:02,,
XS_0805,0:05:24,,
XS_0807,0:07:18,,
XS_0811,1:08:02,,
XS_0814,1:04:03,,
XS_0815,0:10:15,,
XS_0819,0:50:24,,
XS_0821,0:19:20,,
XS_0822,0:16:03,,
XS_0825,0:15:03,,
XS_0826,0:13:25,,
XS_1201,9:29:12,,
XS_1205,1:54:34,,
XS_1208,4:12:08,,
XS_1211,0:11:02,,
XS_1216,0:15:12,,
XS_1218,0:08:28,,
XS_1219,0:09:04,,
XS_1222,0:29:25,,
XS_1224,0:25:07,,
XS_1225,0:35:47,,
XS_1229,0:26:05,,
XS_1230,9:19:04,,
XS_1604,0:40:29,,
XS_1612,6:53:01,,
XS_1614,0:04:00,,
XS_1619,0:32:21,,
XS_1622,0:05:05,,
XS_1628,0:00:00,,
XS_1629,0:22:10,,
XS_1631,0:16:01,,
XS_1634,0:45:16,,
XS_1635,0:23:00,,
XS_1638,0:14:09,,
XS_1639,0:29:05,,
