name,time
gimo,00:22.8
gimo,01:24.5
cat,01:25.0
zem,01:33.2
zem,01:35.8
ball,01:49.9
ball,02:44.7
zem,03:21.8
ball,03:54.1
ball,03:58.1
ball,04:01.2
zem,04:02.0
zem,04:05.3
zem,04:18.3
tima,04:49.5
tima,04:52.3
brush,04:54.5
brush,04:56.7
tima,04:57.1
brush,05:09.4
tima,05:09.7
brush,05:56.9
brush,06:02.6
brush,06:03.7
tima,06:09.5
tima,06:17.4
tima,06:30.6
ball,06:31.1
tima,06:39.0
tima,06:46.5
tima,06:46.8
tima,06:47.0
brush,06:50.0
brush,06:50.0
brush,06:50.1
brush,06:50.3
brush,06:50.6
brush,06:51.5
brush,06:51.6
brush,06:51.9
tima,07:01.1
tima,07:26.7
tima,08:39.9
gimo,10:59.5
gimo,11:02.6
gimo,11:03.9
