subid,frame_num,face_openpose,hand_openpose,nose_conf,wrist_conf
161538-Baby_Scene.json,10098,False,False,,
161538-Baby_Scene.json,10099,True,True,0.101792,0.4270025
161538-Baby_Scene.json,101,False,True,0.0,0.275439
161538-Baby_Scene.json,1010,False,False,,
161538-Baby_Scene.json,10100,False,True,0.0,0.1291051667
161538-Baby_Scene.json,10101,False,True,0.0,0.1310463333
161538-Baby_Scene.json,10102,False,True,0.0,0.341692
161538-Baby_Scene.json,10103,False,True,0.0,0.692574
161538-Baby_Scene.json,10104,False,True,0.0,0.676923
161538-Baby_Scene.json,10105,False,True,0.0,0.608029
161538-Baby_Scene.json,10106,False,True,0.0,0.5918785
161538-Baby_Scene.json,10107,False,True,0.0,0.5371745
161538-Baby_Scene.json,10108,False,True,0.0,0.277145
161538-Baby_Scene.json,10109,False,True,0.0,0.6776755
161538-Baby_Scene.json,1011,False,False,,
161538-Baby_Scene.json,10110,False,True,0.0,0.622967
161538-Baby_Scene.json,10111,False,True,0.0,0.6718505
161538-Baby_Scene.json,10112,False,False,0.0,0.0
161538-Baby_Scene.json,10113,False,True,0.0,0.568416
161538-Baby_Scene.json,10114,False,True,0.0,0.6347745
161538-Baby_Scene.json,10115,False,False,,
161538-Baby_Scene.json,10116,False,True,0.0,0.2316655
161538-Baby_Scene.json,10117,False,True,0.0,0.339905
161538-Baby_Scene.json,10118,False,False,0.0,0.0
161538-Baby_Scene.json,10119,False,False,,
161538-Baby_Scene.json,1012,False,False,,
161538-Baby_Scene.json,10120,False,False,,
161538-Baby_Scene.json,10121,False,False,,
161538-Baby_Scene.json,10122,False,True,0.0,0.388386
161538-Baby_Scene.json,10123,False,True,0.0,0.3698365
161538-Baby_Scene.json,10124,False,True,0.0,0.770352
161538-Baby_Scene.json,10125,False,True,0.0,0.656017
161538-Baby_Scene.json,10126,False,True,0.0,0.150009
161538-Baby_Scene.json,10127,False,True,0.0,0.393981
161538-Baby_Scene.json,10128,False,True,0.0,0.395512
161538-Baby_Scene.json,10129,False,True,0.0,0.2578076667
161538-Baby_Scene.json,1013,False,False,,
161538-Baby_Scene.json,10130,False,True,0.0,0.154703
161538-Baby_Scene.json,10131,False,False,0.0,0.0
161538-Baby_Scene.json,10132,False,True,0.0,0.1604198333
161538-Baby_Scene.json,10133,False,True,0.0,0.13021025
161538-Baby_Scene.json,10134,False,False,,
161538-Baby_Scene.json,10135,True,False,0.272376,0.0
161538-Baby_Scene.json,10136,False,False,,
161538-Baby_Scene.json,10137,False,False,,
161538-Baby_Scene.json,10138,False,False,,
161538-Baby_Scene.json,10139,False,False,,
161538-Baby_Scene.json,1014,False,False,,
161538-Baby_Scene.json,10140,False,False,,
161538-Baby_Scene.json,10141,False,False,,
161538-Baby_Scene.json,10142,False,False,,
161538-Baby_Scene.json,10143,False,False,,
161538-Baby_Scene.json,10144,False,False,,
161538-Baby_Scene.json,10145,False,False,,
161538-Baby_Scene.json,10146,False,False,,
161538-Baby_Scene.json,10147,False,False,,
161538-Baby_Scene.json,10148,False,False,,
161538-Baby_Scene.json,10149,False,False,,
161538-Baby_Scene.json,1015,True,True,0.0892016,0.253649
161538-Baby_Scene.json,10150,False,False,,
161538-Baby_Scene.json,10151,False,False,,
161538-Baby_Scene.json,10152,False,False,,
161538-Baby_Scene.json,10153,False,False,,
161538-Baby_Scene.json,10154,False,False,,
161538-Baby_Scene.json,10155,False,False,,
161538-Baby_Scene.json,10156,False,False,,
161538-Baby_Scene.json,10157,False,False,,
161538-Baby_Scene.json,10158,False,False,,
161538-Baby_Scene.json,10159,False,False,,
161538-Baby_Scene.json,1016,True,True,0.072083,0.1536454
161538-Baby_Scene.json,10160,False,False,,
161538-Baby_Scene.json,10161,False,False,,
161538-Baby_Scene.json,10162,True,False,0.187412,0.0
161538-Baby_Scene.json,10163,False,False,,
161538-Baby_Scene.json,10164,False,False,,
161538-Baby_Scene.json,10165,False,False,,
161538-Baby_Scene.json,10166,False,False,,
161538-Baby_Scene.json,10167,False,False,,
161538-Baby_Scene.json,10168,True,True,0.596416,0.348265
161538-Baby_Scene.json,10169,True,True,0.534719,0.2047435
161538-Baby_Scene.json,1017,True,True,0.116898,0.17112225
161538-Baby_Scene.json,10170,True,True,0.689532,0.1220655
161538-Baby_Scene.json,10171,True,True,0.181663,0.0601425
161538-Baby_Scene.json,10172,False,False,,
161538-Baby_Scene.json,10173,True,True,0.219308,0.0594395
161538-Baby_Scene.json,10174,True,True,0.143621,0.10889335
161538-Baby_Scene.json,10175,True,True,0.600797,0.5237345
161538-Baby_Scene.json,10176,True,True,0.663735,0.6317095
161538-Baby_Scene.json,10177,True,True,0.830037,0.6455645
161538-Baby_Scene.json,10178,True,True,0.5467045,0.41789975
161538-Baby_Scene.json,10179,True,True,0.676087,0.7199455
161538-Baby_Scene.json,1018,True,True,0.1096365,0.1359555
161538-Baby_Scene.json,10180,True,True,0.318005,0.511123
161538-Baby_Scene.json,10181,True,True,0.0799103,0.574328
161538-Baby_Scene.json,10182,True,True,0.136221,0.3521085
161538-Baby_Scene.json,10183,True,True,0.155837,0.157834
