subID,Consent for online data repository,"Consent for use in academic settings (conferences, lectures, etc.)",mTurk consent,Consent for transcribers,age.grp,age.at.test,gender
XS_0801,x,x,x,x,8,9.3,female
XS_0803,x,x,no consent,x,8,8,male
XS_0805,x,x,x,x,8,8.3,female
XS_0807,x,x,x,x,8,7.5,male
XS_0811,x,x,x,x,8,8.8,male
XS_0814,x,x,x,x,8,9.6,male
XS_0815,x,x,x,x,8,9.6,male
XS_0819,x,x,no consent,x,8,8.9,female
XS_0821,x,x,no consent,x,8,7.5,female
XS_0822,x,x,x,x,8,9.3,male
XS_0825,x,x,no consent,x,8,8.7,female
XS_0826,x,x,x,x,8,9,female
XS_1201,x,x,x,x,12,11.7,female
XS_1205,x,x,x,x,12,12,male
XS_1208,x,x,x,x,12,13.5,male
XS_1211,x,x,x,x,12,13.1,female
XS_1216,x,x,no consent,x,12,11.4,male
XS_1218,x,x,x,x,12,13.1,male
XS_1219,x,x,x,x,12,11.5,female
XS_1222,x,x,x,x,12,12.7,female
XS_1224,no consent,x,no consent,x,12,12.5,female
XS_1225,x,x,x,x,12,13.1,female
XS_1229,x,x,x,x,12,13.7,male
XS_1230,x,x,x,x,12,13.1,female
XS_1604,x,x,x,x,16,17.8,male
XS_1612,x,x,x,x,16,15.5,male
XS_1614,x,x,no consent,x,16,17,female
XS_1619,x,x,x,x,16,17.6,male
XS_1622,no consent,x,no consent,x,16,15.3,female
XS_1628,no consent,no consent,no consent,x,16,15.9,female
XS_1629,x,x,x,x,16,16.3,male
XS_1631,no consent,no consent,no consent,x,16,15.9,female
XS_1634,no consent,no consent,no consent,no consent,16,16,female
XS_1635,x,x,x,x,16,15.5,male
XS_1638,x,x,x,x,16,17.5,male
XS_1639,x,x,x,x,16,15.2,female
