subid,last.frame,length
XS-XS_1635_objs.mov.frames.txt.csv,21415,714.734468
XS-XS_1208_objs.mov.frames.txt.csv,17039,724.633917
XS-XS_0814_objs.mov.frames.txt.csv,21136,885.224036
XS-XS_1230_objs.mov.frames.txt.csv,8191,272.901885
XS-XS_1224_objs.mov.frames.txt.csv,26492,883.282560
XS-XS_1639_objs.mov.frames.txt.csv,26500,884.026276
XS-XS_0819_objs.mov.frames.txt.csv,28286,943.837080
XS-XS_0807_objs.mov.frames.txt.csv,19314,797.288728
XS-XS_1218_objs.mov.frames.txt.csv,21243,709.882387
XS-XS_1229_objs_cropped.mov.frames.txt.csv,10708,356.798862
XS-XS_1225_objs.mov.frames.txt.csv,55521,925.333333
XS-XS_1622_objs.mov.frames.txt.csv,26452,883.112868
XS-XS_0821_objs.mov.frames.txt.csv,28712,959.947560
XS-XS_1219_objs.mov.frames.txt.csv,27592,921.202510
XS-XS_1638_objs.mov.frames.txt.csv,26281,877.140462
XS-XS_1634_objs.mov.frames.txt.csv,28000,934.853220
XS-XS_1619_objs.mov.frames.txt.csv,26397,880.616385
XS-XS_0803_objs.mov.frames.txt.csv,22636,950.223906
XS-XS_1631_objs.mov.frames.txt.csv,22309,744.385408
XS-XS_1201_objs.mov.frames.txt.csv,7667,327.418700
XS-XS_1614_objs.mov.frames.txt.csv,28117,937.556529
XS-XS_1211_objs.mov.frames.txt.csv,62780,1046.316667
XS-XS_1604_objs.mov.frames.txt.csv,26933,1151.014361
XS-XS_0815_objs.mov.frames.txt.csv,25982,1161.469507
XS-XS_1205_objs.mov.frames.txt.csv,67365,1122.733333
XS-XS_0801_objs.mov.frames.txt.csv,20021,890.316141
XS-XS_0811_objs.mov.frames.txt.csv,13454,582.869802
XS-XS_1216_objs.mov.frames.txt.csv,28319,944.768388
XS-XS_1222_objs.mov.frames.txt.csv,27732,924.906420
XS-XS_1612_objs.mov.frames.txt.csv,23801,1006.716857
XS-XS_1629_objs.mov.frames.txt.csv,27524,919.014624
XS-XS_0826_objs.mov.frames.txt.csv,14519,483.831315
XS-XS_0825_objs.mov.frames.txt.csv,27693,922.747193
XS-XS_0822_objs.mov.frames.txt.csv,27622,920.927533
XS-XS_1628_objs.mov.frames.txt.csv,56478,941.283333
XS-XS_0805_objs.mov.frames.txt.csv,20502,886.062744
