code,orient,start,stop,Type
posture,1,86251,217241,si
posture,3,217241,358540,si
posture,1,358540,489692,si
posture,NA,489692,525965,c
posture,1,525965,683017,si
posture,3,683017,809749,si
posture,1,809749,940083,si
posture,NA,940083,952503,c
posture,1,952503,971173,si
posture,2,971173,975541,si
posture,1,975541,1060865,si
