code,Not-In-Frame.onset,Not-In-Frame.offset,type,orient
not-in-frame,49912,52904,NIF,NIF
not-in-frame,126149,128690,NIF,NIF
not-in-frame,154530,158406,NIF,NIF
not-in-frame,180370,184654,NIF,NIF
not-in-frame,196572,206250,NIF,NIF
not-in-frame,216204,218688,NIF,NIF
not-in-frame,292764,301580,NIF,NIF
not-in-frame,320426,338232,NIF,NIF
not-in-frame,459238,473960,NIF,NIF
not-in-frame,496353,513434,NIF,NIF
posture,14616,33285,st,2
posture,33286,34373,st,1
posture,34374,37767,st,2
posture,37768,41537,st,3
posture,41538,45489,st,1
posture,45490,49625,st,2
posture,49626,69448,st,0
posture,69449,105535,si,1
posture,105536,109774,NaN,NaN
posture,109775,121799,si,1
posture,121800,132055,st,0
posture,132056,149988,si,1
posture,149989,153714,st,0
posture,160684,179853,st,2
posture,179854,185333,st,0
posture,185334,188601,st,1
posture,188602,196383,st,2
posture,196384,220477,st,0
posture,220478,223080,st,2
posture,223081,225623,st,3
posture,225624,227450,st,2
posture,227451,231165,st,1
posture,231166,233951,st,2
posture,233952,236846,st,1
posture,236847,244683,st,3
posture,244684,255941,st,1
posture,255942,262479,p,2
posture,262480,274436,p,3
posture,274437,276963,st,3
posture,276964,278825,st,1
posture,278826,290363,st,2
posture,290364,310165,st,0
posture,310166,317510,p,0
posture,317511,321809,st,0
posture,321810,332587,NaN,NaN
posture,332588,338538,st,1
posture,338539,352828,st,0
posture,352829,365907,NaN,NaN
posture,365908,368787,st,1
posture,368788,378532,st,3
posture,378533,380097,p,3
posture,380098,382997,st,3
posture,382998,385768,st,1
posture,385769,388439,st,3
posture,388440,391736,st,2
posture,391737,396631,st,3
posture,396632,410872,st,2
posture,410873,413713,st,3
posture,413714,416761,p,3
posture,416762,421422,st,3
posture,421423,423741,st,1
posture,423742,429103,st,2
posture,429104,433552,st,3
posture,433553,449751,st,0
posture,449752,456271,si,0
posture,456272,460163,st,0
posture,460164,472591,st,1
posture,472592,474322,st,3
posture,474323,497557,st,0
posture,497558,505037,st,1
posture,505038,515033,st,2
posture,515059,516527,st,3
posture,516528,522125,p,3
posture,522126,523903,st,3
posture,523904,526090,st,0
