subid,last.frame,length
XS-1635.csv,21413,714.734468
XS-1208.csv,17038,724.633917
XS-0814.csv,21135,885.224036
XS-1230.csv,8190,272.901885
XS-1224.csv,26491,883.282560
XS-1639.csv,26499,884.026276
XS-0819.csv,28285,943.837080
XS-0807.csv,19313,797.288728
XS-1218.csv,21241,709.882387
XS-1229.csv,10707,356.798862
XS-1225.csv,55521,925.333333
XS-1622.csv,26451,883.112868
XS-0821.csv,28711,959.947560
XS-1219.csv,27591,921.202510
XS-1638.csv,26280,877.140462
XS-1634.csv,27999,934.853220
XS-1619.csv,26396,880.616385
XS-0803.csv,22635,950.223906
XS-1631.csv,22307,744.385408
XS-1201.csv,7666,327.418700
XS-1614.csv,28115,937.556529
XS-1211.csv,62780,1046.316667
XS-1604.csv,26932,1151.014361
XS-0815.csv,25981,1161.469507
XS-1205.csv,67365,1122.733333
XS-0801.csv,20020,890.316141
XS-0811.csv,13453,582.869802
XS-1216.csv,28318,944.768388
XS-1222.csv,27731,924.906420
XS-1612.csv,23799,1006.716857
XS-1629.csv,27523,919.014624
XS-0826.csv,14518,483.831315
XS-0825.csv,27692,922.747193
XS-0822.csv,27620,920.927533
XS-1628.csv,56478,941.283333
XS-0805.csv,20501,886.062744
