subid,last.frame,length
XS_0801,20020,890.356
XS_0803,22635,950.275
XS_0805,20501,886.106
XS_0807,19313,797.302
XS_0811,13453,582.895
XS_0814,21135,885.244
XS_0815,25981,1161.496
XS_0819,28285,943.854
XS_0821,28712,959.949
XS_0822,27615,920.731
XS_0825,27692,922.769
XS_0826,14513,483.67
XS_1201,7666,327.479579
XS_1205,67365,1122.733333
XS_1208,17038,724.648
XS_1211,62780,1046.316667
XS_1216,28319,944.801752
XS_1218,21231,709.555
XS_1219,27591,921.214
XS_1222,27731,924.911
XS_1224,26491,883.308
XS_1225,55521,925.333333
XS_1229,10708,356.832189
XS_1230,8189,272.869
XS_1604,26932,1151.057
XS_1612,23801,1006.781
XS_1614,28100,937.162
XS_1619,26396,880.644
XS_1622,26448,883.017
XS_1628,21232,709.582482
XS_1629,27523,919.033
XS_1631,22297,744.09
XS_1634,27999,934.885
XS_1635,21409,714.603
XS_1638,26281,877.143
XS_1639,26499,884.059
