frame,pkt_time,best_time
1,0.000000,0.000000
2,0.032259,0.032259
3,0.064517,0.064517
4,0.129034,0.129034
5,0.161293,0.161293
6,0.193551,0.193551
7,0.225810,0.225810
8,0.290327,0.290327
9,0.322586,0.322586
10,0.354844,0.354844
11,0.387103,0.387103
12,0.451620,0.451620
13,0.483878,0.483878
14,0.516137,0.516137
15,0.580654,0.580654
16,0.612913,0.612913
17,0.645171,0.645171
18,0.677430,0.677430
19,0.741947,0.741947
20,0.774205,0.774205
21,0.806464,0.806464
22,0.838723,0.838723
23,0.870981,0.870981
24,0.935498,0.935498
25,0.967757,0.967757
26,1.000015,1.000015
27,1.032274,1.032274
28,1.096791,1.096791
29,1.129050,1.129050
30,1.161308,1.161308
31,1.193567,1.193567
32,1.258084,1.258084
33,1.290342,1.290342
34,1.322601,1.322601
35,1.354860,1.354860
36,1.419377,1.419377
37,1.451635,1.451635
38,1.483894,1.483894
39,1.516152,1.516152
40,1.580670,1.580670
41,1.612928,1.612928
42,1.645187,1.645187
43,1.677445,1.677445
44,1.741962,1.741962
45,1.774221,1.774221
46,1.806479,1.806479
47,1.838738,1.838738
48,1.903255,1.903255
49,1.935514,1.935514
50,1.967772,1.967772
51,2.000031,2.000031
52,2.064548,2.064548
53,2.096806,2.096806
54,2.129065,2.129065
55,2.161324,2.161324
56,2.225841,2.225841
57,2.258099,2.258099
58,2.290358,2.290358
59,2.354875,2.354875
60,2.387134,2.387134
61,2.419392,2.419392
62,2.451651,2.451651
63,2.483909,2.483909
64,2.548426,2.548426
65,2.580685,2.580685
66,2.612943,2.612943
67,2.645202,2.645202
68,2.709719,2.709719
69,2.741978,2.741978
70,2.774236,2.774236
71,2.806495,2.806495
72,2.871012,2.871012
73,2.903271,2.903271
74,2.935529,2.935529
75,2.967788,2.967788
76,3.032305,3.032305
77,3.064563,3.064563
78,3.096822,3.096822
79,3.129080,3.129080
80,3.161339,3.161339
81,3.225856,3.225856
82,3.258115,3.258115
83,3.290373,3.290373
84,3.322632,3.322632
85,3.387149,3.387149
86,3.419408,3.419408
87,3.451666,3.451666
88,3.483925,3.483925
89,3.548442,3.548442
90,3.580700,3.580700
91,3.612959,3.612959
92,3.645217,3.645217
93,3.709735,3.709735
94,3.741993,3.741993
95,3.774252,3.774252
96,3.838769,3.838769
97,3.871027,3.871027
98,3.903286,3.903286
99,3.935545,3.935545
100,4.000062,4.000062
101,4.032320,4.032320
102,4.064579,4.064579
103,4.096837,4.096837
104,4.161354,4.161354
105,4.193613,4.193613
106,4.225872,4.225872
107,4.258130,4.258130
108,4.290389,4.290389
109,4.354906,4.354906
110,4.387164,4.387164
111,4.419423,4.419423
112,4.451681,4.451681
113,4.516199,4.516199
114,4.548457,4.548457
115,4.580716,4.580716
116,4.612974,4.612974
117,4.677491,4.677491
118,4.709750,4.709750
119,4.742009,4.742009
120,4.774267,4.774267
121,4.838784,4.838784
122,4.871043,4.871043
123,4.903301,4.903301
124,4.967818,4.967818
125,5.000077,5.000077
126,5.032336,5.032336
127,5.064594,5.064594
128,5.096853,5.096853
129,5.161370,5.161370
130,5.193628,5.193628
131,5.225887,5.225887
132,5.258146,5.258146
133,5.322663,5.322663
134,5.354921,5.354921
135,5.387180,5.387180
136,5.419438,5.419438
137,5.483955,5.483955
138,5.516214,5.516214
139,5.580731,5.580731
140,5.612990,5.612990
141,5.645248,5.645248
142,5.677507,5.677507
143,5.709765,5.709765
144,5.742024,5.742024
145,5.806541,5.806541
146,5.838800,5.838800
147,5.871058,5.871058
148,5.935575,5.935575
149,5.967834,5.967834
150,6.000092,6.000092
151,6.032351,6.032351
152,6.064610,6.064610
153,6.129127,6.129127
154,6.161385,6.161385
155,6.193644,6.193644
156,6.258161,6.258161
157,6.290419,6.290419
158,6.322678,6.322678
159,6.354937,6.354937
160,6.387195,6.387195
161,6.451712,6.451712
162,6.483971,6.483971
163,6.516229,6.516229
164,6.548488,6.548488
165,6.613005,6.613005
166,6.645264,6.645264
167,6.677522,6.677522
168,6.709781,6.709781
169,6.774298,6.774298
170,6.806556,6.806556
171,6.838815,6.838815
172,6.871074,6.871074
173,6.935591,6.935591
174,6.967849,6.967849
175,7.000108,7.000108
176,7.032366,7.032366
177,7.096884,7.096884
178,7.129142,7.129142
179,7.161401,7.161401
180,7.193659,7.193659
181,7.258176,7.258176
182,7.290435,7.290435
183,7.322693,7.322693
184,7.354952,7.354952
185,7.419469,7.419469
186,7.451728,7.451728
187,7.483986,7.483986
188,7.516245,7.516245
189,7.580762,7.580762
190,7.613021,7.613021
191,7.645279,7.645279
192,7.677538,7.677538
193,7.742055,7.742055
194,7.774313,7.774313
195,7.806572,7.806572
196,7.838830,7.838830
197,7.903348,7.903348
198,7.935606,7.935606
199,7.967865,7.967865
200,8.000123,8.000123
201,8.064640,8.064640
202,8.096899,8.096899
203,8.129157,8.129157
204,8.161416,8.161416
205,8.225933,8.225933
206,8.258192,8.258192
207,8.290450,8.290450
208,8.322709,8.322709
209,8.387226,8.387226
210,8.419485,8.419485
211,8.451743,8.451743
212,8.484002,8.484002
213,8.548519,8.548519
214,8.580777,8.580777
215,8.613036,8.613036
216,8.645294,8.645294
217,8.709812,8.709812
218,8.742070,8.742070
219,8.774329,8.774329
220,8.806587,8.806587
221,8.871104,8.871104
222,8.903363,8.903363
223,8.935622,8.935622
224,8.967880,8.967880
225,9.032397,9.032397
226,9.064656,9.064656
227,9.096914,9.096914
228,9.129173,9.129173
229,9.193690,9.193690
230,9.225949,9.225949
231,9.258207,9.258207
232,9.290466,9.290466
233,9.322724,9.322724
234,9.387241,9.387241
235,9.419500,9.419500
236,9.451759,9.451759
237,9.516276,9.516276
238,9.548534,9.548534
239,9.613051,9.613051
240,9.645310,9.645310
241,9.709827,9.709827
242,9.774344,9.774344
243,9.806603,9.806603
244,9.871120,9.871120
245,9.903378,9.903378
246,9.967896,9.967896
247,10.000154,10.000154
248,10.064671,10.064671
249,10.096930,10.096930
250,10.161447,10.161447
251,10.225964,10.225964
252,10.258223,10.258223
253,10.322740,10.322740
254,10.354998,10.354998
255,10.419515,10.419515
256,10.451774,10.451774
257,10.516291,10.516291
258,10.548550,10.548550
259,10.580808,10.580808
260,10.613067,10.613067
261,10.677584,10.677584
262,10.709842,10.709842
263,10.742101,10.742101
264,10.774360,10.774360
265,10.838877,10.838877
266,10.871135,10.871135
267,10.903394,10.903394
268,10.935652,10.935652
269,11.000169,11.000169
270,11.032428,11.032428
271,11.064687,11.064687
272,11.096945,11.096945
273,11.129204,11.129204
274,11.193721,11.193721
275,11.225979,11.225979
276,11.258238,11.258238
277,11.322755,11.322755
278,11.355014,11.355014
279,11.387272,11.387272
280,11.451789,11.451789
281,11.484048,11.484048
282,11.516306,11.516306
283,11.548565,11.548565
284,11.580824,11.580824
285,11.645341,11.645341
286,11.677599,11.677599
287,11.709858,11.709858
288,11.742116,11.742116
289,11.774375,11.774375
290,11.838892,11.838892
291,11.871151,11.871151
292,11.903409,11.903409
293,11.935668,11.935668
294,12.000185,12.000185
295,12.032443,12.032443
296,12.064702,12.064702
297,12.096961,12.096961
298,12.161478,12.161478
299,12.193736,12.193736
300,12.225995,12.225995
301,12.258253,12.258253
302,12.322770,12.322770
303,12.355029,12.355029
304,12.387288,12.387288
305,12.419546,12.419546
306,12.484063,12.484063
307,12.516322,12.516322
308,12.548580,12.548580
309,12.580839,12.580839
310,12.645356,12.645356
311,12.677615,12.677615
312,12.709873,12.709873
313,12.742132,12.742132
314,12.806649,12.806649
315,12.838907,12.838907
316,12.871166,12.871166
317,12.903425,12.903425
318,12.967942,12.967942
319,13.000200,13.000200
320,13.032459,13.032459
321,13.064717,13.064717
322,13.129235,13.129235
323,13.161493,13.161493
324,13.193752,13.193752
325,13.226010,13.226010
326,13.290527,13.290527
327,13.322786,13.322786
328,13.355044,13.355044
329,13.387303,13.387303
330,13.451820,13.451820
331,13.484079,13.484079
332,13.516337,13.516337
333,13.548596,13.548596
334,13.613113,13.613113
335,13.645372,13.645372
336,13.677630,13.677630
337,13.709889,13.709889
338,13.774406,13.774406
339,13.806664,13.806664
340,13.838923,13.838923
341,13.871181,13.871181
342,13.935699,13.935699
343,13.967957,13.967957
344,14.000216,14.000216
345,14.032474,14.032474
346,14.096991,14.096991
347,14.129250,14.129250
348,14.161509,14.161509
349,14.193767,14.193767
350,14.258284,14.258284
351,14.290543,14.290543
352,14.322801,14.322801
353,14.355060,14.355060
354,14.419577,14.419577
355,14.451836,14.451836
356,14.484094,14.484094
357,14.516353,14.516353
358,14.580870,14.580870
359,14.613128,14.613128
360,14.645387,14.645387
361,14.677645,14.677645
362,14.742163,14.742163
363,14.774421,14.774421
364,14.806680,14.806680
365,14.838938,14.838938
366,14.903455,14.903455
367,14.935714,14.935714
368,14.967973,14.967973
369,15.000231,15.000231
370,15.032490,15.032490
371,15.097007,15.097007
372,15.129265,15.129265
373,15.161524,15.161524
374,15.226041,15.226041
375,15.258300,15.258300
376,15.290558,15.290558
377,15.322817,15.322817
378,15.387334,15.387334
379,15.419592,15.419592
380,15.451851,15.451851
381,15.484110,15.484110
382,15.548627,15.548627
383,15.580885,15.580885
384,15.613144,15.613144
385,15.645402,15.645402
